case_id,language,category,expected_low,expected_high,tool,mode,similarity
CASE_CODE_CS_001,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_001,C#,identico,100,100,jplag,cohorte,100.0
CASE_CODE_CS_001,C#,identico,100,100,dolos,cohorte,100.0
CASE_CODE_CS_001,C#,identico,100,100,dolos,m10,88.33
CASE_CODE_CS_002,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_002,C#,funcional,70,90,jplag,cohorte,0.0
CASE_CODE_CS_002,C#,funcional,70,90,dolos,cohorte,15.88
CASE_CODE_CS_002,C#,funcional,70,90,dolos,m10,1.49
CASE_CODE_CS_003,C#,estructural,40,60,moss,cohorte,38.5
CASE_CODE_CS_003,C#,estructural,40,60,jplag,cohorte,82.49
CASE_CODE_CS_003,C#,estructural,40,60,dolos,cohorte,75.14
CASE_CODE_CS_003,C#,estructural,40,60,dolos,m10,57.34
CASE_CODE_CS_004,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_004,C#,diferente,0,20,jplag,cohorte,10.91
CASE_CODE_CS_004,C#,diferente,0,20,dolos,cohorte,12.06
CASE_CODE_CS_004,C#,diferente,0,20,dolos,m10,0.0
CASE_CODE_CS_005,C#,identico,100,100,moss,cohorte,94.0
CASE_CODE_CS_005,C#,identico,100,100,jplag,cohorte,100.0
CASE_CODE_CS_005,C#,identico,100,100,dolos,cohorte,100.0
CASE_CODE_CS_005,C#,identico,100,100,dolos,m10,73.08
CASE_CODE_CS_006,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_006,C#,funcional,70,90,jplag,cohorte,26.47
CASE_CODE_CS_006,C#,funcional,70,90,dolos,cohorte,29.0
CASE_CODE_CS_006,C#,funcional,70,90,dolos,m10,0.0
CASE_CODE_CS_007,C#,estructural,40,60,moss,cohorte,0.0
CASE_CODE_CS_007,C#,estructural,40,60,jplag,cohorte,75.32
CASE_CODE_CS_007,C#,estructural,40,60,dolos,cohorte,65.69
CASE_CODE_CS_007,C#,estructural,40,60,dolos,m10,30.0
CASE_CODE_CS_008,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_008,C#,diferente,0,20,jplag,cohorte,15.38
CASE_CODE_CS_008,C#,diferente,0,20,dolos,cohorte,25.82
CASE_CODE_CS_008,C#,diferente,0,20,dolos,m10,0.0
CASE_CODE_CS_009,C#,identico,100,100,moss,cohorte,97.0
CASE_CODE_CS_009,C#,identico,100,100,jplag,cohorte,100.0
CASE_CODE_CS_009,C#,identico,100,100,dolos,cohorte,100.0
CASE_CODE_CS_009,C#,identico,100,100,dolos,m10,76.67
CASE_CODE_CS_010,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_010,C#,funcional,70,90,jplag,cohorte,28.12
CASE_CODE_CS_010,C#,funcional,70,90,dolos,cohorte,20.87
CASE_CODE_CS_010,C#,funcional,70,90,dolos,m10,0.0
CASE_CODE_CS_011,C#,estructural,40,60,moss,cohorte,0.0
CASE_CODE_CS_011,C#,estructural,40,60,jplag,cohorte,64.1
CASE_CODE_CS_011,C#,estructural,40,60,dolos,cohorte,61.29
CASE_CODE_CS_011,C#,estructural,40,60,dolos,m10,25.61
CASE_CODE_CS_012,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_012,C#,diferente,0,20,jplag,cohorte,7.51
CASE_CODE_CS_012,C#,diferente,0,20,dolos,cohorte,21.94
CASE_CODE_CS_012,C#,diferente,0,20,dolos,m10,0.0
CASE_CODE_CS_013,C#,identico,100,100,moss,cohorte,99.0
CASE_CODE_CS_013,C#,identico,100,100,jplag,cohorte,100.0
CASE_CODE_CS_013,C#,identico,100,100,dolos,cohorte,100.0
CASE_CODE_CS_013,C#,identico,100,100,dolos,m10,89.51
CASE_CODE_CS_014,C#,funcional,70,90,moss,cohorte,6.0
CASE_CODE_CS_014,C#,funcional,70,90,jplag,cohorte,62.28
CASE_CODE_CS_014,C#,funcional,70,90,dolos,cohorte,33.51
CASE_CODE_CS_014,C#,funcional,70,90,dolos,m10,21.32
CASE_CODE_CS_015,C#,estructural,40,60,moss,cohorte,0.0
CASE_CODE_CS_015,C#,estructural,40,60,jplag,cohorte,28.18
CASE_CODE_CS_015,C#,estructural,40,60,dolos,cohorte,26.62
CASE_CODE_CS_015,C#,estructural,40,60,dolos,m10,11.14
CASE_CODE_CS_016,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_016,C#,diferente,0,20,jplag,cohorte,20.18
CASE_CODE_CS_016,C#,diferente,0,20,dolos,cohorte,22.41
CASE_CODE_CS_016,C#,diferente,0,20,dolos,m10,10.34
CASE_CODE_CS_017,C#,identico,100,100,moss,cohorte,94.0
CASE_CODE_CS_017,C#,identico,100,100,jplag,cohorte,100.0
CASE_CODE_CS_017,C#,identico,100,100,dolos,cohorte,100.0
