algo_id,filename,language,algorithm,time_documented,time_predicted,time_correct,space_documented,space_predicted,space_correct
ALG_005,BinarySearchIterative.java,Java,Busqueda binaria iterativa,O(log n),O(log n),1,O(1),O(1),1
ALG_005,BinarySearchIterative.java,Java,Busqueda binaria iterativa,O(log n),O(log n),1,O(1),O(1),1
ALG_005,BinarySearchIterative.java,Java,Busqueda binaria iterativa,O(log n),O(log n),1,O(1),O(1),1
ALG_009,CountDigits.java,Java,Conteo de digitos decimales de un entero,O(log n),O(log n),1,O(1),O(1),1
ALG_009,CountDigits.java,Java,Conteo de digitos decimales de un entero,O(log n),O(log n),1,O(1),O(1),1
ALG_009,CountDigits.java,Java,Conteo de digitos decimales de un entero,O(log n),O(log n),1,O(1),O(1),1
ALG_019,CountOccurrences.java,Java,Conteo de ocurrencias de un valor,O(n),O(n),1,O(1),O(1),1
ALG_019,CountOccurrences.java,Java,Conteo de ocurrencias de un valor,O(n),O(n),1,O(1),O(1),1
ALG_019,CountOccurrences.java,Java,Conteo de ocurrencias de un valor,O(n),O(n),1,O(1),O(1),1
ALG_031,DfsAdjacencyMatrix.java,Java,Recorrido en profundidad (DFS) sobre matriz de adyacencia,O(n^2),O(n^2),1,O(n),O(n),1
ALG_031,DfsAdjacencyMatrix.java,Java,Recorrido en profundidad (DFS) sobre matriz de adyacencia,O(n^2),O(n^2),1,O(n),O(n),1
ALG_031,DfsAdjacencyMatrix.java,Java,Recorrido en profundidad (DFS) sobre matriz de adyacencia,O(n^2),O(n^2),1,O(n),O(n),1
ALG_033,EditDistance.java,Java,Distancia de edicion (Levenshtein) por programacion dinamica,O(n^2),O(n^2),1,O(n^2),O(n^2),1
ALG_033,EditDistance.java,Java,Distancia de edicion (Levenshtein) por programacion dinamica,O(n^2),O(n^2),1,O(n^2),O(n^2),1
ALG_033,EditDistance.java,Java,Distancia de edicion (Levenshtein) por programacion dinamica,O(n^2),O(n^2),1,O(n^2),O(n^2),1
ALG_007,FastPower.java,Java,Exponenciacion binaria (exponentiation by squaring),O(log n),O(log n),1,O(1),O(1),1
ALG_007,FastPower.java,Java,Exponenciacion binaria (exponentiation by squaring),O(log n),O(log n),1,O(1),O(1),1
ALG_007,FastPower.java,Java,Exponenciacion binaria (exponentiation by squaring),O(log n),O(log n),1,O(1),O(1),1
ALG_015,FibonacciIterative.java,Java,Fibonacci iterativo,O(n),O(n),1,O(1),O(1),1
ALG_015,FibonacciIterative.java,Java,Fibonacci iterativo,O(n),O(n),1,O(1),O(1),1
ALG_015,FibonacciIterative.java,Java,Fibonacci iterativo,O(n),O(n),1,O(1),O(1),1
ALG_037,FibonacciNaiveRecursive.java,Java,Fibonacci recursivo sin memoizacion,O(2^n),O(2^n),1,O(n),O(n),1
ALG_037,FibonacciNaiveRecursive.java,Java,Fibonacci recursivo sin memoizacion,O(2^n),O(2^n),1,O(n),O(n),1
ALG_037,FibonacciNaiveRecursive.java,Java,Fibonacci recursivo sin memoizacion,O(2^n),O(2^n),1,O(n),O(n),1
ALG_013,FindMax.java,Java,Busqueda del maximo en un arreglo,O(n),O(n),1,O(1),O(1),1
ALG_013,FindMax.java,Java,Busqueda del maximo en un arreglo,O(n),O(n),1,O(1),O(1),1
ALG_013,FindMax.java,Java,Busqueda del maximo en un arreglo,O(n),O(n),1,O(1),O(1),1
ALG_035,FloydWarshall.java,Java,Caminos minimos entre todos los pares (Floyd-Warshall),O(n^3),O(n^3),1,O(1),O(1),1
ALG_035,FloydWarshall.java,Java,Caminos minimos entre todos los pares (Floyd-Warshall),O(n^3),O(n^3),1,O(1),O(1),1
ALG_035,FloydWarshall.java,Java,Caminos minimos entre todos los pares (Floyd-Warshall),O(n^3),O(n^3),1,O(1),O(1),1
ALG_039,GenerateAllSubsets.java,Java,Generacion del conjunto potencia,O(2^n),O(2^n),1,O(n),O(n),1
ALG_039,GenerateAllSubsets.java,Java,Generacion del conjunto potencia,O(2^n),O(2^n),1,O(n),O(n),1
ALG_039,GenerateAllSubsets.java,Java,Generacion del conjunto potencia,O(2^n),O(2^n),1,O(n),O(n),1
ALG_029,HasDuplicatesNaive.java,Java,Deteccion de duplicados por comparacion de todos los pares,O(n^2),O(n^2),1,O(1),O(1),1
ALG_029,HasDuplicatesNaive.java,Java,Deteccion de duplicados por comparacion de todos los pares,O(n^2),O(n^2),1,O(1),O(1),1
ALG_029,HasDuplicatesNaive.java,Java,Deteccion de duplicados por comparacion de todos los pares,O(n^2),O(n^2),1,O(1),O(1),1
ALG_023,HeapExtractAll.java,Java,Construccion de monticulo y extraccion de todos los elementos,O(n log n),O(n log n),1,O(n),O(n),1
ALG_023,HeapExtractAll.java,Java,Construccion de monticulo y extraccion de todos los elementos,O(n log n),O(n log n),1,O(n),O(n),1
ALG_023,HeapExtractAll.java,Java,Construccion de monticulo y extraccion de todos los elementos,O(n log n),O(n log n),1,O(n),O(n),1
ALG_021,HeapSort.java,Java,Ordenamiento por monticulos (heapsort),O(n log n),O(n log n),1,O(log n),O(log n),1
