orden,case_id,language,code_a_path,code_b_path,categoria_evaluador2
1,CASE_CODE_JAVA_043,Java,java/CODE_IDENT_JAVA_011.java,java/CODE_ESTRU_JAVA_011.java,structural
2,CASE_CODE_JAVA_058,Java,java/CODE_IDENT_JAVA_015.java,java/CODE_FUN_JAVA_015.java,functional
3,CASE_CODE_CS_011,C#,csharp/CODE_IDENT_CS_003.cs,csharp/CODE_ESTRU_CS_003.cs,structural
4,CASE_CODE_JAVA_039,Java,java/CODE_IDENT_JAVA_010.java,java/CODE_ESTRU_JAVA_010.java,structural
5,CASE_CODE_CS_009,C#,csharp/CODE_IDENT_CS_003.cs,csharp/CODE_IDENT_CS_003.cs,identical
6,CASE_CODE_CS_057,C#,csharp/CODE_IDENT_CS_015.cs,csharp/CODE_IDENT_CS_015.cs,identical
7,CASE_CODE_JAVA_022,Java,java/CODE_IDENT_JAVA_006.java,java/CODE_FUN_JAVA_006.java,functional
8,CASE_CODE_CS_040,C#,csharp/CODE_IDENT_CS_010.cs,csharp/CODE_DIF_CS_010.cs,different
9,CASE_CODE_JAVA_015,Java,java/CODE_IDENT_JAVA_004.java,java/CODE_ESTRU_JAVA_004.java,structural
10,CASE_CODE_CS_002,C#,csharp/CODE_IDENT_CS_001.cs,csharp/CODE_FUN_CS_001.cs,functional
11,CASE_CODE_JAVA_007,Java,java/CODE_IDENT_JAVA_002.java,java/CODE_ESTRU_JAVA_002.java,structural
12,CASE_CODE_CS_021,C#,csharp/CODE_IDENT_CS_006.cs,csharp/CODE_IDENT_CS_006.cs,identical
13,CASE_CODE_JAVA_044,Java,java/CODE_IDENT_JAVA_011.java,java/CODE_DIF_JAVA_011.java,different
14,CASE_CODE_CS_030,C#,csharp/CODE_IDENT_CS_008.cs,csharp/CODE_FUN_CS_008.cs,functional
15,CASE_CODE_CS_037,C#,csharp/CODE_IDENT_CS_010.cs,csharp/CODE_IDENT_CS_010.cs,identical
16,CASE_CODE_CS_008,C#,csharp/CODE_IDENT_CS_002.cs,csharp/CODE_DIF_CS_002.cs,different
17,CASE_CODE_CS_060,C#,csharp/CODE_IDENT_CS_015.cs,csharp/CODE_DIF_CS_015.cs,different
18,CASE_CODE_CS_022,C#,csharp/CODE_IDENT_CS_006.cs,csharp/CODE_FUN_CS_006.cs,functional
19,CASE_CODE_CS_005,C#,csharp/CODE_IDENT_CS_002.cs,csharp/CODE_IDENT_CS_002.cs,identical
