case_id,language,reference_group,similarity_category,code_a_id,code_a_filename,code_a_path,code_a_loc,code_a_methods,code_b_id,code_b_filename,code_b_path,code_b_loc,code_b_methods,expected_similarity_min,expected_similarity_max,evaluator,evaluation_date,notes
CASE_CODE_CS_001,C#,1,identical,CODE_IDENT_CS_001,CODE_IDENT_CS_001.cs,csharp/CODE_IDENT_CS_001.cs,70,4,CODE_IDENT_CS_001,CODE_IDENT_CS_001.cs,csharp/CODE_IDENT_CS_001.cs,70,4,100,100,Rafael Navas,2025-08-29,
CASE_CODE_CS_002,C#,1,functional,CODE_IDENT_CS_001,CODE_IDENT_CS_001.cs,csharp/CODE_IDENT_CS_001.cs,70,5,CODE_FUN_CS_001,CODE_FUN_CS_001.cs,csharp/CODE_FUN_CS_001.cs,70,7,70,90,Rafael Navas,2025-08-31,
CASE_CODE_CS_003,C#,1,structural,CODE_IDENT_CS_001,CODE_IDENT_CS_001.cs,csharp/CODE_IDENT_CS_001.cs,70,4,CODE_ESTRU_CS_001,CODE_ESTRU_CS_001.cs,csharp/CODE_ESTRU_CS_001.cs,80,5,40,60,Rafael Navas,2025-08-31,
CASE_CODE_CS_004,C#,1,different,CODE_IDENT_CS_001,CODE_IDENT_CS_001.cs,csharp/CODE_IDENT_CS_001.cs,70,4,CODE_DIF_CS_001,CODE_DIF_CS_001.cs,csharp/CODE_DIF_CS_001.cs,96,10,0,20,Rafael Navas,2025-08-31,
CASE_CODE_CS_005,C#,2,identical,CODE_IDENT_CS_002,CODE_IDENT_CS_002.cs,csharp/CODE_IDENT_CS_002.cs,37,1,CODE_IDENT_CS_002,CODE_IDENT_CS_002.cs,csharp/CODE_IDENT_CS_002.cs,37,1,100,100,Rafael Navas,2025-08-31,
CASE_CODE_CS_006,C#,2,functional,CODE_IDENT_CS_002,CODE_IDENT_CS_002.cs,csharp/CODE_IDENT_CS_002.cs,37,1,CODE_FUN_CS_002,CODE_FUN_CS_002.cs,csharp/CODE_FUN_CS_002.cs,35,1,70,90,Rafael Navas,2025-08-31,
CASE_CODE_CS_007,C#,2,structural,CODE_IDENT_CS_002,CODE_IDENT_CS_002.cs,csharp/CODE_IDENT_CS_002.cs,37,1,CODE_ESTRU_CS_002,CODE_ESTRU_CS_002.cs,csharp/CODE_ESTRU_CS_002.cs,42,1,40,60,Rafael Navas,2025-08-31,
CASE_CODE_CS_008,C#,2,different,CODE_IDENT_CS_002,CODE_IDENT_CS_002.cs,csharp/CODE_IDENT_CS_002.cs,37,1,CODE_DIF_CS_002,CODE_DIF_CS_002.cs,csharp/CODE_DIF_CS_002.cs,81,1,0,20,Rafael Navas,2025-08-31,
CASE_CODE_CS_009,C#,3,identical,CODE_IDENT_CS_003,CODE_IDENT_CS_003.cs,csharp/CODE_IDENT_CS_003.cs,36,1,CODE_IDENT_CS_003,CODE_IDENT_CS_003.cs,csharp/CODE_IDENT_CS_003.cs,36,1,100,100,Rafael Navas,2025-09-01,
CASE_CODE_CS_010,C#,3,functional,CODE_IDENT_CS_003,CODE_IDENT_CS_003.cs,csharp/CODE_IDENT_CS_003.cs,36,1,CODE_FUN_CS_003,CODE_FUN_CS_003.cs,csharp/CODE_FUN_CS_003.cs,36,1,70,90,Rafael Navas,2025-09-01,
CASE_CODE_CS_011,C#,3,structural,CODE_IDENT_CS_003,CODE_IDENT_CS_003.cs,csharp/CODE_IDENT_CS_003.cs,36,1,CODE_ESTRU_CS_003,CODE_ESTRU_CS_003.cs,csharp/CODE_ESTRU_CS_003.cs,45,1,40,60,Rafael Navas,2025-09-01,
CASE_CODE_CS_012,C#,3,different,CODE_IDENT_CS_003,CODE_IDENT_CS_003.cs,csharp/CODE_IDENT_CS_003.cs,36,1,CODE_DIF_CS_003,CODE_DIF_CS_003.cs,csharp/CODE_DIF_CS_003.cs,202,8,0,20,Rafael Navas,2025-09-01,
CASE_CODE_CS_013,C#,4,identical,CODE_IDENT_CS_004,CODE_IDENT_CS_004.cs,csharp/CODE_IDENT_CS_004.cs,117,13,CODE_IDENT_CS_004,CODE_IDENT_CS_004.cs,csharp/CODE_IDENT_CS_004.cs,117,13,100,100,Rafael Navas,2025-09-01,
CASE_CODE_CS_014,C#,4,functional,CODE_IDENT_CS_004,CODE_IDENT_CS_004.cs,csharp/CODE_IDENT_CS_004.cs,117,13,CODE_FUN_CS_004,CODE_FUN_CS_004.cs,csharp/CODE_FUN_CS_004.cs,128,12,70,90,Rafael Navas,2025-09-01,
CASE_CODE_CS_015,C#,4,structural,CODE_IDENT_CS_004,CODE_IDENT_CS_004.cs,csharp/CODE_IDENT_CS_004.cs,117,13,CODE_ESTRU_CS_004,CODE_ESTRU_CS_004.cs,csharp/CODE_ESTRU_CS_004.cs,167,14,40,60,Rafael Navas,2025-09-01,
CASE_CODE_CS_016,C#,4,different,CODE_IDENT_CS_004,CODE_IDENT_CS_004.cs,csharp/CODE_IDENT_CS_004.cs,117,13,CODE_DIF_CS_004,CODE_DIF_CS_004.cs,csharp/CODE_DIF_CS_004.cs,239,24,0,20,Rafael Navas,2025-09-01,
CASE_CODE_CS_017,C#,5,identical,CODE_IDENT_CS_005,CODE_IDENT_CS_005.cs,csharp/CODE_IDENT_CS_005.cs,35,1,CODE_IDENT_CS_005,CODE_IDENT_CS_005.cs,csharp/CODE_IDENT_CS_005.cs,35,1,100,100,Rafael Navas,2025-09-02,
