case_id,language,category,expected_low,expected_high,tool,mode,similarity
CASE_CODE_CS_001,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_002,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_003,C#,estructural,40,60,moss,cohorte,38.5
CASE_CODE_CS_004,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_005,C#,identico,100,100,moss,cohorte,94.0
CASE_CODE_CS_006,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_007,C#,estructural,40,60,moss,cohorte,0.0
CASE_CODE_CS_008,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_009,C#,identico,100,100,moss,cohorte,97.0
CASE_CODE_CS_010,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_011,C#,estructural,40,60,moss,cohorte,0.0
CASE_CODE_CS_012,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_013,C#,identico,100,100,moss,cohorte,99.0
CASE_CODE_CS_014,C#,funcional,70,90,moss,cohorte,6.0
CASE_CODE_CS_015,C#,estructural,40,60,moss,cohorte,0.0
CASE_CODE_CS_016,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_017,C#,identico,100,100,moss,cohorte,94.0
CASE_CODE_CS_018,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_019,C#,estructural,40,60,moss,cohorte,46.0
CASE_CODE_CS_020,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_021,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_022,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_023,C#,estructural,40,60,moss,cohorte,42.0
CASE_CODE_CS_024,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_025,C#,identico,100,100,moss,cohorte,97.0
CASE_CODE_CS_026,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_027,C#,estructural,40,60,moss,cohorte,97.0
CASE_CODE_CS_028,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_029,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_030,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_031,C#,estructural,40,60,moss,cohorte,98.0
CASE_CODE_CS_032,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_033,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_034,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_035,C#,estructural,40,60,moss,cohorte,98.0
CASE_CODE_CS_036,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_037,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_038,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_039,C#,estructural,40,60,moss,cohorte,98.0
CASE_CODE_CS_040,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_041,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_042,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_043,C#,estructural,40,60,moss,cohorte,77.0
CASE_CODE_CS_044,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_045,C#,identico,100,100,moss,cohorte,97.0
CASE_CODE_CS_046,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_047,C#,estructural,40,60,moss,cohorte,91.0
CASE_CODE_CS_048,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_049,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_050,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_051,C#,estructural,40,60,moss,cohorte,94.5
CASE_CODE_CS_052,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_053,C#,identico,100,100,moss,cohorte,97.0
CASE_CODE_CS_054,C#,funcional,70,90,moss,cohorte,0.0
CASE_CODE_CS_055,C#,estructural,40,60,moss,cohorte,20.5
CASE_CODE_CS_056,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_CS_057,C#,identico,100,100,moss,cohorte,98.0
CASE_CODE_CS_058,C#,funcional,70,90,moss,cohorte,13.5
CASE_CODE_CS_059,C#,estructural,40,60,moss,cohorte,45.0
CASE_CODE_CS_060,C#,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_001,Java,identico,100,100,moss,cohorte,96.0
CASE_CODE_JAVA_002,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_003,Java,estructural,40,60,moss,cohorte,91.0
CASE_CODE_JAVA_004,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_005,Java,identico,100,100,moss,cohorte,96.0
CASE_CODE_JAVA_006,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_007,Java,estructural,40,60,moss,cohorte,68.0
CASE_CODE_JAVA_008,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_009,Java,identico,100,100,moss,cohorte,96.0
CASE_CODE_JAVA_010,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_011,Java,estructural,40,60,moss,cohorte,54.0
CASE_CODE_JAVA_012,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_013,Java,identico,100,100,moss,cohorte,98.0
CASE_CODE_JAVA_014,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_015,Java,estructural,40,60,moss,cohorte,32.0
CASE_CODE_JAVA_016,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_017,Java,identico,100,100,moss,cohorte,99.0
CASE_CODE_JAVA_018,Java,funcional,70,90,moss,cohorte,19.0
CASE_CODE_JAVA_019,Java,estructural,40,60,moss,cohorte,60.0
CASE_CODE_JAVA_020,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_021,Java,identico,100,100,moss,cohorte,95.0
