id,hash,ignored,data,files
75,18687383,false,,"[1,42,40,47]"
76,13319156,false,,"[1,42,40,47]"
77,10015798,false,,"[1,42,40,47]"
78,4467915,false,,"[1,30,37,39,47,44]"
79,1509622,false,,"[1,30]"
80,924168,false,,"[1,30]"
81,894194,false,,[1]
82,2604901,false,,"[1,0,12,13,17,32,50,49]"
83,3371195,false,,"[1,0,23,12,13,17,32,50,49]"
84,3519250,false,,[1]
85,3018109,false,,[1]
86,2287564,false,,"[1,0,3,7,11,9,13,17,32,36,38,34,42,39,40,47,44,50,49]"
87,732229,false,,[1]
88,692055,false,,[1]
89,1621665,false,,[1]
90,7927038,false,,[1]
91,709353,false,,[1]
92,283205,false,,"[1,17,41]"
93,2350432,false,,"[1,17]"
94,174965,false,,[1]
95,7109479,false,,[1]
96,81309,false,,"[1,32]"
97,3598562,false,,[1]
98,3681888,false,,"[1,4,2,0,3,6,5,7,11,8,9,10,12,13,14,16,15,18,19,20,21,22,29,33,31,36,38,34,35,41,43,46,45,53,48,55,51,52,57,56,54,58,61,62,63,65,66,71]"
99,4074575,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,14,16,15,18,19,20,21,24,25,22,28,29,27,26,30,32,36,38,34,35,37,41,42,39,40,47,44,43,46,45,53,48,55,50,49,51,52,57,56,54,58,61,62,60,59,67,64,63,65,69,70,66,71,68,72,74,73]"
100,2993169,false,,"[1,2,5,12,17]"
101,2488112,false,,"[1,0,11,9,10,12,17,32,36]"
102,142490,false,,"[1,4,2,0,3,6,23,7,11,8,9,10,13,17,24,25,28,27,26,30,33,31,32,36,34,35,37,41,42,39,40,47,44,50,49,60,59,67,64,69,70,68,72,74,73]"
103,3848751,false,,"[1,4,2,0,3,6,5,23,7,11,9,10,12,13,16,18,19,20,21,24,25,28,27,30,32,36,38,34,35,41,47,44,48,55,51,52,54,58,61,62,60,59,67,64,69,70,68,72,74,73]"
104,8521925,false,,"[1,0,7,11,10,32]"
105,5773069,false,,"[1,0,23,10,17,32]"
106,4467725,false,,"[1,10,32]"
107,2933838,false,,"[1,32]"
108,595482,false,,"[1,2,0,6,5,23,8,9,10,12,13,17,18,19,21,27,30,32,36,34,47,44,51,52,68,72,74,73]"
109,3574645,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,14,16,15,17,18,19,20,21,24,25,22,28,29,27,26,30,33,32,36,38,34,35,37,41,42,40,47,44,43,46,45,53,48,55,50,49,51,52,57,56,54,58,61,62,60,59,67,64,63,65,69,70,66,71,68,72,74,73]"
110,4006670,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,16,15,17,18,19,20,21,24,25,22,28,29,27,26,30,32,36,38,34,35,37,41,42,39,47,44,45,53,48,55,51,52,54,58,61,62,60,59,67,64,63,65,69,70,68,72,74,73]"
111,2792154,false,,"[1,0,6,5,23,9,10,12,16,18,20,21,27,30,36,38,34,35,47,44,51,52,54,58,61,62,68,72,74,73]"
112,1882660,false,,"[1,38]"
113,1787722,false,,"[1,3,11,38,37,39]"
114,4703533,false,,[1]
115,3483628,false,,[1]
116,742222,false,,[1]
117,1462596,false,,"[1,11,42,40,47,44]"
118,2199425,false,,[1]
119,476025,false,,[1]
120,841111,false,,[1]
121,2444488,false,,"[1,2,23,35,42,40]"
122,2540315,false,,[1]
123,3973945,false,,"[1,23]"
124,8000031,false,,"[1,23,9]"
125,13119812,false,,[1]
126,7532652,false,,"[1,11,10]"
127,6282635,false,,[1]
128,449425,false,,"[1,5,23,13,17,25,41,40,57,56,67,64,66,71]"
129,6889055,false,,"[1,40,57,56,66,71]"
130,8632045,false,,"[1,0,3,23,7,11,8,10,17,32,50,49]"
131,4612326,false,,[1]
132,6705471,false,,[1]
133,7519284,false,,[1]
134,6250662,false,,[1]
135,4638236,false,,[1]
136,3010048,false,,"[1,12,13,47,44]"
137,1833138,false,,"[1,12,17,47,44]"
138,1500170,false,,"[1,9,12,17,47,44]"
139,6673255,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,16,15,18,19,20,21,24,25,22,28,29,27,26,30,33,31,38,35,41,47,44,50,49,51,52,57,56,54,58,61,62,60,59,67,64,63,65,69,70,66,71,68,72,74,73]"
140,7408580,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,18,19,20,21,24,25,22,28,29,27,26,30,38,41,47,44,50,49,51,52,57,56,54,58,61,62,60,59,67,64,63,65,69,70,66,71,68,72,74,73]"
141,1418003,false,,"[1,50,49]"
142,2084858,false,,"[1,32,42,50,49]"
143,4749441,false,,"[1,0]"
144,1835778,false,,"[1,4,3,23,11,13,17,25,28,26,34,35,41,39,44,67,64,69,70,74,73]"
145,7273129,false,,"[1,17]"
146,6548541,false,,"[1,17]"
147,4845327,false,,"[1,8,17,50,49]"
148,3519872,false,,[1]
149,5915198,false,,"[1,17]"
150,3867297,false,,"[1,17]"
151,623503,false,,"[1,4,2,0,3,6,5,23,9,10,12,13,14,16,15,17,19,20,21,30,33,31,32,36,38,34,37,42,39,40,47,44,43,46,45,53,48,55,50,49,57,56,54,58,61,62]"
152,5181986,false,,"[1,2,0,3,5,23,11,9,12,17,30,32,50,49]"
153,7113830,false,,"[1,4,2,0,5,8,9,12,17,21,50,49,61,62]"
154,8172571,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,17,21,61,62]"
155,10579844,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,17,21,61,62]"
156,9414610,false,,"[1,4,2,0,3,6,5,23,7,11,8,9,10,12,13,17,21,61,62]"
157,21009215,false,,"[4,2,0,3,6,5,23,7,11,8,9,10,12,13,14,17,24,25,28,27,26,30,32,35,43,46,50,49,60,59,67,64,69,70,68,72,74,73]"
158,18419878,false,,"[4,2,0,3,6,5,23,7,11,8,9,10,12,13,14,17,24,25,28,27,26,30,32,35,43,46,50,49,60,59,67,64,69,70,68,72,74,73]"
159,2353610,false,,"[4,2,0,3,6,5,23,7,11,8,9,10,12,13,14,17,24,25,28,27,26,30,32,35,43,46,50,49,60,59,67,64,69,70,68,72,74,73]"
160,6927011,false,,"[4,2,24,25,28,27,26,60,59,67,64,69,70,68,72,74,73]"
161,2399704,false,,"[4,16,15,18,19,20,21,24,25,22,28,29,27,26,33,31,36,38,34,41,45,53,48,55,51,52,57,56,54,58,61,62,60,59,67,64,63,65,69,70,66,71,68,72,74,73]"
