id,leftFileId,leftFilePath,rightFileId,rightFilePath,similarity,totalOverlap,longestFragment,leftCovered,rightCovered
3420,8,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.494910941475827,389,25,179,210
2875,2,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,0.48740554156171284,387,31,184,203
3153,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,0.4387254901960784,358,42,159,199
3225,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.3752620545073375,358,21,203,155
5223,50,baselines_work/cohorte/csharp/CODE_IDENT_CS_004/CODE_IDENT_CS_004.cs,49,baselines_work/cohorte/csharp/CODE_IDENT_CS_004_COPY/CODE_IDENT_CS_004.cs,1,342,171,171,171
3159,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,12,baselines_work/cohorte/csharp/CODE_DIF_CS_014/CODE_DIF_CS_014.cs,0.5179738562091504,317,24,173,144
3223,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,8,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,0.38213399503722084,308,17,191,117
3227,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,13,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,0.336094674556213,284,16,171,113
2872,2,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,3,baselines_work/cohorte/csharp/CODE_DIF_CS_005/CODE_DIF_CS_005.cs,0.5402298850574713,282,33,175,107
3547,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,13,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,0.3418181818181818,282,16,153,129
3291,7,baselines_work/cohorte/csharp/CODE_DIF_CS_009/CODE_DIF_CS_009.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.4180451127819549,278,39,122,156
3483,9,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.35917312661498707,278,13,121,157
2874,2,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,0.43238993710691825,275,35,147,128
2951,0,baselines_work/cohorte/csharp/CODE_DIF_CS_004/CODE_DIF_CS_004.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.2953020134228188,264,8,111,153
3226,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,12,baselines_work/cohorte/csharp/CODE_DIF_CS_014/CODE_DIF_CS_014.cs,0.34155844155844156,263,24,161,102
3546,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,12,baselines_work/cohorte/csharp/CODE_DIF_CS_014/CODE_DIF_CS_014.cs,0.3506666666666667,263,18,143,120
2946,0,baselines_work/cohorte/csharp/CODE_DIF_CS_004/CODE_DIF_CS_004.cs,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,0.2855579868708972,261,8,90,171
3158,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.3178391959798995,253,21,136,117
3016,3,baselines_work/cohorte/csharp/CODE_DIF_CS_005/CODE_DIF_CS_005.cs,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,0.358974358974359,252,42,87,165
3224,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,9,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,0.3148614609571788,250,13,164,86
3356,11,baselines_work/cohorte/csharp/CODE_DIF_CS_010/CODE_DIF_CS_010.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.33604336043360433,248,22,116,132
3160,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,13,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,0.3508005822416303,241,16,133,108
3156,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,8,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,0.36882716049382713,239,17,139,100
5379,61,baselines_work/cohorte/csharp/CODE_IDENT_CS_008/CODE_IDENT_CS_008.cs,62,baselines_work/cohorte/csharp/CODE_IDENT_CS_008_COPY/CODE_IDENT_CS_008.cs,1,238,119,119,119
3608,12,baselines_work/cohorte/csharp/CODE_DIF_CS_014/CODE_DIF_CS_014.cs,13,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,0.36973478939157567,237,21,117,120
3289,7,baselines_work/cohorte/csharp/CODE_DIF_CS_009/CODE_DIF_CS_009.cs,8,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,0.43907156673114117,227,25,110,117
3015,3,baselines_work/cohorte/csharp/CODE_DIF_CS_005/CODE_DIF_CS_005.cs,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,0.41544117647058826,226,56,94,132
2880,2,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,0.29069767441860467,225,21,128,97
2881,2,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,12,baselines_work/cohorte/csharp/CODE_DIF_CS_014/CODE_DIF_CS_014.cs,0.37966101694915255,224,24,128,96
2957,0,baselines_work/cohorte/csharp/CODE_DIF_CS_004/CODE_DIF_CS_004.cs,17,baselines_work/cohorte/csharp/CODE_ESTRU_CS_004/CODE_ESTRU_CS_004.cs,0.31721194879089615,223,7,117,106
4157,21,baselines_work/cohorte/csharp/CODE_ESTRU_CS_008/CODE_ESTRU_CS_008.cs,61,baselines_work/cohorte/csharp/CODE_IDENT_CS_008/CODE_IDENT_CS_008.cs,0.948936170212766,223,71,113,110
4158,21,baselines_work/cohorte/csharp/CODE_ESTRU_CS_008/CODE_ESTRU_CS_008.cs,62,baselines_work/cohorte/csharp/CODE_IDENT_CS_008_COPY/CODE_IDENT_CS_008.cs,0.948936170212766,223,71,113,110
2882,2,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,13,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,0.3323308270676692,221,17,132,89
2945,0,baselines_work/cohorte/csharp/CODE_DIF_CS_004/CODE_DIF_CS_004.cs,5,baselines_work/cohorte/csharp/CODE_DIF_CS_007/CODE_DIF_CS_007.cs,0.2857142857142857,216,7,89,127
3221,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,7,baselines_work/cohorte/csharp/CODE_DIF_CS_009/CODE_DIF_CS_009.cs,0.31386861313868614,215,21,144,71
3421,8,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,12,baselines_work/cohorte/csharp/CODE_DIF_CS_014/CODE_DIF_CS_014.cs,0.34551495016611294,208,14,99,109
3354,11,baselines_work/cohorte/csharp/CODE_DIF_CS_010/CODE_DIF_CS_010.cs,8,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,0.34915254237288135,206,23,104,102
5454,63,baselines_work/cohorte/csharp/CODE_IDENT_CS_011/CODE_IDENT_CS_011.cs,65,baselines_work/cohorte/csharp/CODE_IDENT_CS_011_COPY/CODE_IDENT_CS_011.cs,1,206,103,103,103
5498,74,baselines_work/cohorte/csharp/CODE_IDENT_CS_015/CODE_IDENT_CS_015.cs,73,baselines_work/cohorte/csharp/CODE_IDENT_CS_015_COPY/CODE_IDENT_CS_015.cs,1,206,103,103,103
3422,8,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,13,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,0.30280649926144754,205,13,94,111
4905,42,baselines_work/cohorte/csharp/CODE_FUN_CS_011/CODE_FUN_CS_011.cs,40,baselines_work/cohorte/csharp/CODE_FUN_CS_013/CODE_FUN_CS_013.cs,0.7945736434108527,205,65,107,98
3222,23,baselines_work/cohorte/csharp/CODE_DIF_CS_008/CODE_DIF_CS_008.cs,11,baselines_work/cohorte/csharp/CODE_DIF_CS_010/CODE_DIF_CS_010.cs,0.2678100263852243,203,16,138,65
2873,2,baselines_work/cohorte/csharp/CODE_DIF_CS_003/CODE_DIF_CS_003.cs,6,baselines_work/cohorte/csharp/CODE_DIF_CS_006/CODE_DIF_CS_006.cs,0.3937621832358674,202,10,139,63
4262,25,baselines_work/cohorte/csharp/CODE_ESTRU_CS_010/CODE_ESTRU_CS_010.cs,67,baselines_work/cohorte/csharp/CODE_IDENT_CS_010/CODE_IDENT_CS_010.cs,1,202,101,101,101
4263,25,baselines_work/cohorte/csharp/CODE_ESTRU_CS_010/CODE_ESTRU_CS_010.cs,64,baselines_work/cohorte/csharp/CODE_IDENT_CS_010_COPY/CODE_IDENT_CS_010.cs,1,202,101,101,101
