id,hash,ignored,data,files
75,18687383,false,,"[2,37,42,43]"
76,13319156,false,,"[2,37,42,43]"
77,10015798,false,,"[2,37,42,43]"
78,4467915,false,,"[2,33,39,41,43,44]"
79,1509622,false,,"[2,33]"
80,924168,false,,"[2,33]"
81,894194,false,,[2]
82,2604901,false,,"[2,0,11,16,14,30,52,50]"
83,3371195,false,,"[2,0,5,11,16,14,30,52,50]"
84,3519250,false,,[2]
85,3018109,false,,[2]
86,2287564,true,,"[2,0,3,8,12,13,16,14,30,34,40,35,37,41,42,43,44,52,50]"
87,732229,false,,[2]
88,692055,false,,[2]
89,1621665,false,,[2]
90,7927038,false,,[2]
91,709353,false,,[2]
92,283205,false,,"[2,14,38]"
93,2350432,false,,"[2,14]"
94,174965,false,,[2]
95,7109479,false,,[2]
96,81309,false,,"[2,30]"
97,3598562,false,,[2]
98,3681888,true,,"[2,1,4,0,3,6,9,8,12,7,13,10,11,16,17,15,20,19,21,18,22,25,32,29,31,34,40,35,36,38,47,45,46,48,51,49,53,54,60,55,56,57,58,65,66,68,69,71]"
99,4074575,true,,"[2,1,4,0,3,6,9,5,8,12,7,13,10,11,16,17,15,20,19,21,18,22,23,24,25,27,32,28,26,33,30,34,40,35,36,39,38,37,41,42,43,44,47,45,46,48,51,49,52,50,53,54,60,55,56,57,58,65,62,61,64,59,66,68,63,67,69,71,72,70,73,74]"
100,2993169,false,,"[2,4,9,11,14]"
101,2488112,false,,"[2,0,12,13,10,11,14,30,34]"
102,142490,true,,"[2,1,4,0,3,6,5,8,12,7,13,10,16,14,23,24,27,28,26,33,29,31,30,34,35,36,39,38,37,41,42,43,44,52,50,62,61,64,59,63,67,72,70,73,74]"
103,3848751,true,,"[2,1,4,0,3,6,9,5,8,12,13,10,11,16,15,19,21,18,22,23,24,27,28,33,30,34,40,35,36,38,43,44,51,49,53,54,56,57,58,65,62,61,64,59,63,67,72,70,73,74]"
104,8521925,false,,"[2,0,8,12,10,30]"
105,5773069,false,,"[2,0,5,10,14,30]"
106,4467725,false,,"[2,10,30]"
107,2933838,false,,"[2,30]"
108,595482,true,,"[2,4,0,6,9,5,7,13,10,11,16,14,19,21,22,28,33,30,34,35,43,44,53,54,72,70,73,74]"
109,3574645,true,,"[2,1,4,0,3,6,9,5,8,12,7,13,10,11,16,17,15,20,14,19,21,18,22,23,24,25,27,32,28,26,33,29,30,34,40,35,36,39,38,37,42,43,44,47,45,46,48,51,49,52,50,53,54,60,55,56,57,58,65,62,61,64,59,66,68,63,67,69,71,72,70,73,74]"
110,4006670,true,,"[2,1,4,0,3,6,9,5,8,12,7,13,10,11,16,15,20,14,19,21,18,22,23,24,25,27,32,28,26,33,30,34,40,35,36,39,38,37,41,43,44,46,48,51,49,53,54,56,57,58,65,62,61,64,59,66,68,63,67,72,70,73,74]"
111,2792154,true,,"[2,0,6,9,5,13,10,11,15,19,18,22,28,33,34,40,35,36,43,44,53,54,56,57,58,65,72,70,73,74]"
112,1882660,false,,"[2,40]"
113,1787722,false,,"[2,3,12,40,39,41]"
114,4703533,false,,[2]
115,3483628,false,,[2]
116,742222,false,,[2]
117,1462596,false,,"[2,12,37,42,43,44]"
118,2199425,false,,[2]
119,476025,false,,[2]
120,841111,false,,[2]
121,2444488,false,,"[2,4,5,36,37,42]"
122,2540315,false,,[2]
123,3973945,false,,"[2,5]"
124,8000031,false,,"[2,5,13]"
125,13119812,false,,[2]
126,7532652,false,,"[2,12,10]"
127,6282635,false,,[2]
128,449425,true,,"[2,9,5,16,14,24,38,42,60,55,64,59,69,71]"
129,6889055,false,,"[2,42,60,55,69,71]"
130,8632045,true,,"[2,0,3,5,8,12,7,10,14,30,52,50]"
131,4612326,false,,[2]
132,6705471,false,,[2]
133,7519284,false,,[2]
134,6250662,false,,[2]
135,4638236,false,,[2]
136,3010048,false,,"[2,11,16,43,44]"
137,1833138,false,,"[2,11,14,43,44]"
138,1500170,false,,"[2,13,11,14,43,44]"
139,6673255,true,,"[2,1,4,0,3,6,9,5,8,12,7,13,10,11,16,15,20,19,21,18,22,23,24,25,27,32,28,26,33,29,31,40,36,38,43,44,52,50,53,54,60,55,56,57,58,65,62,61,64,59,66,68,63,67,69,71,72,70,73,74]"
140,7408580,true,,"[2,1,4,0,3,6,9,5,8,12,7,13,10,11,16,19,21,18,22,23,24,25,27,32,28,26,33,40,38,43,44,52,50,53,54,60,55,56,57,58,65,62,61,64,59,66,68,63,67,69,71,72,70,73,74]"
141,1418003,false,,"[2,52,50]"
