id,hash,ignored,data,files
75,3765536,false,,"[1,0,2,8,3,6,9,10,11,12,13,22,21,26,25,29,24,28,30,32,33,34,37,38,39,42,41,40,43,44,59,57,60,63,66,67,64,71,69,70,68,72,73,74]"
76,1065505,false,,"[1,0,2,8,3,6,9,10,11,12,13,30,32,33,37,38,39,42,41,40,44]"
77,1319064,false,,"[1,8,3,6,9,10,12,13,30,32,33,37,38,39,42,41,40,44]"
78,1624651,false,,"[1,0,4,8,3,6,10,12,22,21,26,25,29,24,28,30,32,33,34,38,39,42,41,40,43,44,59,57,60,63,66,67,64,71,69,70,68,72,73,74]"
79,867018,false,,"[1,0,8,7,3,6,9,10,12,30,32,37,38,39,42,41,40,44]"
80,3623938,false,,"[1,3,9,10,12,38,39]"
81,7410912,false,,"[1,3,9,10,12]"
82,7829797,false,,[1]
83,4621316,false,,"[1,43]"
84,1023460,false,,[1]
85,1831178,false,,"[1,6,38]"
86,30909,false,,"[1,6,10,12,13,38,39]"
87,861306,false,,"[1,10]"
88,3846777,false,,"[1,10]"
89,1893554,false,,"[1,6,10]"
90,1461050,false,,"[1,6,10]"
91,2744714,false,,"[1,3,6,5,9,10,12,13,33,38,39]"
92,5304560,false,,"[1,4,10,12,13,32,39]"
93,4140706,false,,"[1,10,12,39]"
94,1607233,false,,"[1,10,12,39]"
95,3808927,false,,"[1,0]"
96,3120200,false,,"[1,0]"
97,228131,false,,"[1,0]"
98,3633151,false,,[1]
99,71610,false,,"[1,44]"
100,2527032,false,,"[1,44]"
101,5706720,false,,"[1,44]"
102,1457720,false,,"[1,44]"
103,1849295,false,,"[1,3,9,13,21,27,26,25,29,28,35,36,42,41,40,44,60,63,62,65,66,67,64,71,69,70,73,74]"
104,5294961,false,,"[1,8,3,6,9,10,12,13,14,21,28,39,36,44,60,63,73,74]"
105,5291511,false,,"[1,8,6,10,14,21,28,39,44,60,63,73,74]"
106,1344323,false,,"[1,8,6,10,14,21,28,39,44,60,63,73,74]"
107,1007936,false,,"[1,4,8,7,3,6,9,10,11,12,13,14,17,18,19,22,23,21,27,26,25,29,24,28,30,31,35,33,37,38,39,42,41,40,43,44,48,49,50,55,52,54,59,57,56,61,60,63,62,65,66,67,64,71,69,70,68,72,73,74]"
108,1899968,false,,"[1,9,10,12,13,14,28,44,73,74]"
109,8383671,false,,"[1,9,10,17,22,26,25,29,24,28,39,42,41,40,44,59,57,66,67,64,71,69,70,68,72,73,74]"
110,4273039,false,,"[1,26,25,29,28,42,41,40,66,67,64,71,69,70,68,72,73,74]"
111,4009782,false,,"[1,25,29,28,42,41,40,43,44,73,74]"
112,126098,false,,"[1,10,25,29,28,43,73,74]"
113,190471,false,,"[1,10]"
114,2881055,false,,[1]
115,6560109,false,,[1]
116,12509180,false,,[1]
117,4449747,false,,[1]
118,4116481,false,,[1]
119,1675342,false,,[1]
120,1879014,false,,[1]
121,1856734,false,,[1]
122,651587,false,,[1]
123,4409550,false,,[1]
124,6387157,false,,"[1,44]"
125,7689950,false,,"[1,44]"
126,3109721,false,,"[1,44]"
127,787597,false,,"[1,0,3,9,10,12,13,32,35,37,44]"
128,486501,false,,"[1,0,8,3,6,9,10,11,12,13,14,32,33,37,39,36,44]"
129,4358297,false,,"[1,0,8,3,6,9,10,11,12,13,14,32,37,39,36,44]"
130,5638989,false,,"[1,0,8,3,6,9,10,11,12,13,14,32,37,39,36,44]"
131,6494547,false,,"[1,9,10,12,13,14,16,18,23,21,26,24,28,39,43,44,47,51,50,55,56,61,60,63,66,67,68,72,73,74]"
132,4749743,false,,"[1,10,24,44]"
133,2022869,false,,"[1,10,24,44]"
134,2094422,false,,"[1,14,42]"
135,1275582,false,,"[1,3,42]"
136,129392,false,,"[1,42]"
137,1222242,false,,[1]
138,1643304,false,,[1]
139,906845,false,,[1]
140,896211,false,,"[1,6]"
141,655761,false,,"[1,6]"
142,379575,false,,"[1,6,9]"
143,3202743,false,,"[1,12]"
144,930782,false,,"[1,3,12]"
145,782793,false,,"[1,3,12]"
146,2454040,false,,"[1,3,12]"
147,2464219,false,,[1]
148,2163495,false,,[1]
149,1814687,false,,[1]
150,4576909,false,,"[1,2,4,7,3,9,12,32,35,33,34,44]"
151,5474014,false,,"[1,2,3,6,9,10,32,35,34,44]"
152,4288931,false,,"[1,2,4,7,3,6,5,9,10,11,12,13,14,32,35,33,34,38,39,36,44]"
153,3099255,false,,"[1,0,2,4,8,7,3,6,5,9,10,11,12,13,14,15,16,17,18,19,20,22,23,21,27,26,25,29,24,28,30,31,32,35,33,34,37,38,39,36,42,41,40,43,44,46,45,47,51,48,49,50,55,52,54,53,58,59,57,56,61,60,63,62,65,66,67,64,71,69,70,68,72,73,74]"
154,1967384,false,,"[1,2,4,7,6]"
155,346109,false,,"[1,4,7,6]"
156,1358411,false,,"[1,4,7,6]"
157,1905406,false,,"[0,3,9,11,13,37]"
158,1297763,false,,"[0,2,4,7,3,9,11,13,14,31,37]"
159,911905,false,,"[0,2,4,7,3,11,13,14]"
160,1166435,false,,"[0,4,3]"
161,8728271,false,,"[0,4,3]"
162,4138646,false,,"[0,4,22,21,26,25,29,24,28,34,43,59,57,60,63,66,67,64,71,69,70,68,72,73,74]"
163,542488,false,,"[0,8,7,6,30,32,37,42,41,40,44]"
164,817471,false,,"[0,8,7,6,30,32,37,42,41,40,44]"
165,1284398,false,,"[0,13,30,32,39,42,41,40]"
166,3674129,false,,"[0,10,12,13,30,32,39,40]"
167,1936141,false,,"[0,10,12,13,39,40]"
168,778196,false,,"[0,40]"
169,1458213,false,,"[0,40]"
170,2898851,false,,[0]
171,4216673,false,,"[0,11]"
172,1295438,false,,"[0,8,11,33]"
173,1409396,false,,"[0,2,8,3,9,11,14]"
174,1894426,false,,"[0,8,9,11]"
175,5929491,false,,"[0,8,9,10,31,44]"
176,28370,false,,"[0,4,8,11]"
177,107883,false,,"[0,11]"
178,847848,false,,"[0,8,3,9,11,14,31,33]"
179,2314182,false,,"[0,4,8,3,9,14,35,33,37,36]"
180,1102883,false,,"[0,8,11,35,37]"
181,885299,false,,"[0,8,11,35,37]"
182,740648,false,,"[0,11,33]"
183,1178272,false,,[0]
184,1239484,false,,[0]
185,1054006,false,,"[0,8,11]"
186,2374243,false,,"[0,8]"
187,2481214,false,,"[0,8]"
188,2008852,false,,"[0,8]"
189,2706752,false,,"[0,8]"
190,395161,false,,[0]
191,99391,false,,"[0,13]"
192,1529512,false,,[0]
193,239655,false,,"[0,2,8,3,5,9,14,38,39,40]"
194,2449869,false,,"[0,3]"
195,1741993,false,,[0]
196,3793107,false,,"[0,5,39]"
197,5456688,false,,[0]
198,4004254,false,,[0]
199,2722076,false,,"[0,12,44]"
200,2316350,false,,"[0,6,10,11,12,14,33,39,36,44]"
201,2367858,false,,"[0,12,21,32,37,39,36,60,63]"
202,550220,false,,[0]
203,283471,false,,[0]
204,670796,false,,"[0,8]"
205,502623,false,,"[0,8,30,37,41,40,43]"
206,5145059,false,,"[0,8,3,5,10,11,12,13,14,22,26,25,29,24,28,30,31,32,35,33,37,38,39,42,41,40,43,44,59,57,66,67,64,71,69,70,68,72,73,74]"
207,7212098,false,,"[0,10,11,12,13,14,22,30,32,39,42,41,40,43,44,59,57]"
208,2082883,false,,"[0,5,10,11,12,13,14,32,39,42,41,40,43,44]"
209,268749,false,,"[0,21,38,39,60,63]"
210,3507057,false,,[0]
211,3603845,false,,[2]
212,1389897,false,,[2]
213,2330312,false,,[2]
214,92811,false,,"[2,4,7,11,13,14]"
215,5451712,false,,"[2,13]"
216,6085373,false,,[2]
217,1261758,false,,"[2,5]"
218,1793196,false,,[2]
219,450753,false,,[2]
220,1939536,false,,"[2,6,37,36]"
221,3619762,false,,"[2,4,6,35,34,37,36]"
222,3448060,false,,"[2,8,14]"
223,1837167,false,,"[2,4,10,44]"
224,3338078,false,,"[2,6]"
225,2917529,false,,"[2,5]"
226,2441770,false,,[2]
227,1165377,false,,[2]
228,3479493,false,,[2]
229,2862960,false,,[2]
230,2199476,false,,[2]
231,319000,false,,[2]
232,162102,false,,[2]
233,1593328,false,,[2]
234,4118305,false,,[2]
235,1093780,false,,"[2,5]"
236,332673,false,,"[2,5]"
237,3033458,false,,"[2,5]"
238,3823693,false,,[2]
239,3842965,false,,[2]
240,3556543,false,,[2]
241,1504720,false,,[2]
242,4865650,false,,[2]
243,1790328,false,,[2]
244,1504603,false,,[2]
245,1376820,false,,[2]
246,1833346,false,,[2]
247,6501865,false,,[2]
248,5909812,false,,[2]
249,3058854,false,,[2]
250,2795462,false,,[2]
251,1211066,false,,[2]
252,417694,false,,"[2,8,3,33]"
253,563533,false,,"[2,3]"
254,854478,false,,[2]
255,4462948,false,,[2]
256,846447,false,,"[2,14]"
257,6351323,false,,[2]
258,2504544,false,,[2]
259,2376808,false,,[2]
260,1291049,false,,[2]
261,1903848,false,,[2]
262,452044,false,,[2]
263,846678,false,,[2]
264,8794418,false,,[2]
265,3914632,false,,[2]
266,1555021,false,,[2]
267,1338607,false,,[2]
268,1255258,false,,[2]
269,316136,false,,[2]
270,1369583,false,,[2]
271,1109140,false,,"[2,5]"
272,1861202,false,,[2]
273,719123,false,,[2]
274,1261392,false,,"[2,15,46,45]"
275,1854540,false,,[2]
276,1173590,false,,[2]
277,3358896,false,,[2]
278,2127222,false,,[2]
279,1576284,false,,"[2,9]"
280,2793539,false,,"[2,35]"
281,3969750,false,,"[2,34]"
282,5584607,false,,[2]
283,2880961,false,,[2]
284,236517,false,,[2]
285,3208810,false,,[2]
286,3603958,false,,"[4,7,14,31]"
287,1000803,false,,"[4,7,14,31]"
288,2645431,false,,"[4,31]"
289,2865229,false,,[4]
290,2544327,false,,[4]
291,1830448,false,,[4]
292,2339609,false,,[4]
293,2044442,false,,[4]
294,1040519,false,,[4]
295,78216,false,,"[4,5]"
296,2258458,false,,"[4,8,7,6,5,37]"
297,7139122,false,,"[4,35,37]"
