id,hash,ignored,data,files
75,3765536,true,,"[1,6,2,4,7,5,12,8,9,14,11,23,24,22,28,27,26,31,30,29,35,38,33,32,39,40,37,41,44,42,57,58,62,63,67,65,66,69,68,71,70,73,72,74]"
76,1065505,true,,"[1,6,2,4,7,5,12,8,9,14,11,30,29,35,33,32,39,40,37,41,42]"
77,1319064,true,,"[1,4,7,5,12,8,14,11,30,29,35,33,32,39,40,37,41,42]"
78,1624651,true,,"[1,6,0,4,7,5,8,14,23,24,22,28,27,26,31,30,29,35,38,32,39,40,37,41,44,42,57,58,62,63,67,65,66,69,68,71,70,73,72,74]"
79,867018,true,,"[1,6,4,3,7,5,12,8,14,30,29,33,32,39,40,37,41,42]"
80,3623938,false,,"[1,7,12,8,14,32,39]"
81,7410912,false,,"[1,7,12,8,14]"
82,7829797,false,,[1]
83,4621316,false,,"[1,44]"
84,1023460,false,,[1]
85,1831178,false,,"[1,5,32]"
86,30909,false,,"[1,5,8,14,11,32,39]"
87,861306,false,,"[1,8]"
88,3846777,false,,"[1,8]"
89,1893554,false,,"[1,5,8]"
90,1461050,false,,"[1,5,8]"
91,2744714,true,,"[1,7,5,10,12,8,14,11,35,32,39]"
92,5304560,false,,"[1,0,8,14,11,29,39]"
93,4140706,false,,"[1,8,14,39]"
94,1607233,false,,"[1,8,14,39]"
95,3808927,false,,"[1,6]"
96,3120200,false,,"[1,6]"
97,228131,false,,"[1,6]"
98,3633151,false,,[1]
99,71610,false,,"[1,42]"
100,2527032,false,,"[1,42]"
101,5706720,false,,"[1,42]"
102,1457720,false,,"[1,42]"
103,1849295,true,,"[1,7,12,11,24,25,22,28,27,31,47,36,40,37,41,42,62,63,61,64,67,65,66,69,68,71,72,74]"
104,5294961,true,,"[1,4,7,5,12,8,14,11,18,24,31,39,36,42,62,63,72,74]"
105,5291511,true,,"[1,4,5,8,18,24,31,39,42,62,63,72,74]"
106,1344323,true,,"[1,4,5,8,18,24,31,39,42,62,63,72,74]"
107,1007936,true,,"[1,0,4,3,7,5,12,8,9,14,11,18,17,20,19,23,21,24,25,22,28,27,26,31,30,34,47,35,33,32,39,40,37,41,44,42,49,48,54,50,59,55,57,58,56,60,62,63,61,64,67,65,66,69,68,71,70,73,72,74]"
108,1899968,false,,"[1,12,8,14,11,18,31,42,72,74]"
109,8383671,true,,"[1,12,8,17,23,22,28,27,26,31,39,40,37,41,42,57,58,67,65,66,69,68,71,70,73,72,74]"
110,4273039,true,,"[1,22,28,27,31,40,37,41,67,65,66,69,68,71,70,73,72,74]"
111,4009782,true,,"[1,28,27,31,40,37,41,44,42,72,74]"
112,126098,false,,"[1,8,28,27,31,44,72,74]"
113,190471,false,,"[1,8]"
114,2881055,false,,[1]
115,6560109,false,,[1]
116,12509180,false,,[1]
117,4449747,false,,[1]
118,4116481,false,,[1]
119,1675342,false,,[1]
120,1879014,false,,[1]
121,1856734,false,,[1]
122,651587,false,,[1]
123,4409550,false,,[1]
124,6387157,false,,"[1,42]"
125,7689950,false,,"[1,42]"
126,3109721,false,,"[1,42]"
127,787597,true,,"[1,6,7,12,8,14,11,29,47,33,42]"
128,486501,true,,"[1,6,4,7,5,12,8,9,14,11,18,29,35,33,39,36,42]"
129,4358297,true,,"[1,6,4,7,5,12,8,9,14,11,18,29,33,39,36,42]"
130,5638989,true,,"[1,6,4,7,5,12,8,9,14,11,18,29,33,39,36,42]"
131,6494547,true,,"[1,12,8,14,11,18,15,20,21,24,22,26,31,39,44,42,45,46,54,50,56,60,62,63,67,65,70,73,72,74]"
132,4749743,false,,"[1,8,26,42]"
133,2022869,false,,"[1,8,26,42]"
134,2094422,false,,"[1,18,40]"
135,1275582,false,,"[1,7,40]"
136,129392,false,,"[1,40]"
137,1222242,false,,[1]
138,1643304,false,,[1]
139,906845,false,,[1]
140,896211,false,,"[1,5]"
141,655761,false,,"[1,5]"
142,379575,false,,"[1,5,12]"
143,3202743,false,,"[1,14]"
144,930782,false,,"[1,7,14]"
145,782793,false,,"[1,7,14]"
146,2454040,false,,"[1,7,14]"
147,2464219,false,,[1]
148,2163495,false,,[1]
149,1814687,false,,[1]
150,4576909,true,,"[1,2,0,3,7,12,14,29,47,35,38,42]"
151,5474014,false,,"[1,2,7,5,12,8,29,47,38,42]"
152,4288931,true,,"[1,2,0,3,7,5,10,12,8,9,14,11,18,29,47,35,38,32,39,36,42]"
153,3099255,true,,"[1,6,2,0,4,3,7,5,10,12,8,9,14,11,18,13,15,17,20,19,16,23,21,24,25,22,28,27,26,31,30,34,29,47,35,38,33,32,39,36,40,37,41,44,42,43,52,45,46,49,48,54,50,59,55,51,53,57,58,56,60,62,63,61,64,67,65,66,69,68,71,70,73,72,74]"
154,1967384,false,,"[1,2,0,3,5]"
155,346109,false,,"[1,0,3,5]"
156,1358411,false,,"[1,0,3,5]"
157,1905406,false,,"[6,7,12,9,11,33]"
158,1297763,true,,"[6,2,0,3,7,12,9,11,18,34,33]"
159,911905,false,,"[6,2,0,3,7,9,11,18]"
160,1166435,false,,"[6,0,7]"
161,8728271,false,,"[6,0,7]"
162,4138646,true,,"[6,0,23,24,22,28,27,26,31,38,44,57,58,62,63,67,65,66,69,68,71,70,73,72,74]"
163,542488,true,,"[6,4,3,5,30,29,33,40,37,41,42]"
164,817471,true,,"[6,4,3,5,30,29,33,40,37,41,42]"
165,1284398,false,,"[6,11,30,29,39,40,37,41]"
166,3674129,false,,"[6,8,14,11,30,29,39,41]"
167,1936141,false,,"[6,8,14,11,39,41]"
168,778196,false,,"[6,41]"
169,1458213,false,,"[6,41]"
170,2898851,false,,[6]
171,4216673,false,,"[6,9]"
172,1295438,false,,"[6,4,9,35]"
173,1409396,false,,"[6,2,4,7,12,9,18]"
174,1894426,false,,"[6,4,12,9]"
175,5929491,false,,"[6,4,12,8,34,42]"
176,28370,false,,"[6,0,4,9]"
177,107883,false,,"[6,9]"
178,847848,false,,"[6,4,7,12,9,18,34,35]"
179,2314182,false,,"[6,0,4,7,12,18,47,35,33,36]"
180,1102883,false,,"[6,4,9,47,33]"
181,885299,false,,"[6,4,9,47,33]"
182,740648,false,,"[6,9,35]"
183,1178272,false,,[6]
184,1239484,false,,[6]
185,1054006,false,,"[6,4,9]"
186,2374243,false,,"[6,4]"
187,2481214,false,,"[6,4]"
188,2008852,false,,"[6,4]"
189,2706752,false,,"[6,4]"
190,395161,false,,[6]
191,99391,false,,"[6,11]"
192,1529512,false,,[6]
193,239655,false,,"[6,2,4,7,10,12,18,32,39,41]"
194,2449869,false,,"[6,7]"
195,1741993,false,,[6]
196,3793107,false,,"[6,10,39]"
197,5456688,false,,[6]
198,4004254,false,,[6]
199,2722076,false,,"[6,14,42]"
200,2316350,false,,"[6,5,8,9,14,18,35,39,36,42]"
201,2367858,false,,"[6,14,24,29,33,39,36,62,63]"
202,550220,false,,[6]
203,283471,false,,[6]
204,670796,false,,"[6,4]"
205,502623,false,,"[6,4,30,33,37,41,44]"
206,5145059,true,,"[6,4,7,10,8,9,14,11,18,23,22,28,27,26,31,30,34,29,47,35,33,32,39,40,37,41,44,42,57,58,67,65,66,69,68,71,70,73,72,74]"
207,7212098,true,,"[6,8,9,14,11,18,23,30,29,39,40,37,41,44,42,57,58]"
208,2082883,true,,"[6,10,8,9,14,11,18,29,39,40,37,41,44,42]"
209,268749,false,,"[6,24,32,39,62,63]"
210,3507057,false,,[6]
211,3603845,false,,[2]
212,1389897,false,,[2]
213,2330312,false,,[2]
214,92811,false,,"[2,0,3,9,11,18]"
215,5451712,false,,"[2,11]"
216,6085373,false,,[2]
217,1261758,false,,"[2,10]"
218,1793196,false,,[2]
219,450753,false,,[2]
220,1939536,false,,"[2,5,33,36]"
221,3619762,false,,"[2,0,5,47,38,33,36]"
222,3448060,false,,"[2,4,18]"
223,1837167,false,,"[2,0,8,42]"
224,3338078,false,,"[2,5]"
225,2917529,false,,"[2,10]"
226,2441770,false,,[2]
227,1165377,false,,[2]
228,3479493,false,,[2]
229,2862960,false,,[2]
230,2199476,false,,[2]
231,319000,false,,[2]
232,162102,false,,[2]
233,1593328,false,,[2]
234,4118305,false,,[2]
235,1093780,false,,"[2,10]"
236,332673,false,,"[2,10]"
237,3033458,false,,"[2,10]"
238,3823693,false,,[2]
239,3842965,false,,[2]
240,3556543,false,,[2]
241,1504720,false,,[2]
242,4865650,false,,[2]
243,1790328,false,,[2]
244,1504603,false,,[2]
245,1376820,false,,[2]
246,1833346,false,,[2]
247,6501865,false,,[2]
248,5909812,false,,[2]
249,3058854,false,,[2]
250,2795462,false,,[2]
251,1211066,false,,[2]
252,417694,false,,"[2,4,7,35]"
253,563533,false,,"[2,7]"
254,854478,false,,[2]
255,4462948,false,,[2]
256,846447,false,,"[2,18]"
257,6351323,false,,[2]
258,2504544,false,,[2]
259,2376808,false,,[2]
260,1291049,false,,[2]
261,1903848,false,,[2]
262,452044,false,,[2]
263,846678,false,,[2]
264,8794418,false,,[2]
265,3914632,false,,[2]
266,1555021,false,,[2]
267,1338607,false,,[2]
268,1255258,false,,[2]
269,316136,false,,[2]
270,1369583,false,,[2]
271,1109140,false,,"[2,10]"
272,1861202,false,,[2]
273,719123,false,,[2]
274,1261392,false,,"[2,13,43,52]"
275,1854540,false,,[2]
276,1173590,false,,[2]
277,3358896,false,,[2]
278,2127222,false,,[2]
279,1576284,false,,"[2,12]"
280,2793539,false,,"[2,47]"
281,3969750,false,,"[2,38]"
282,5584607,false,,[2]
283,2880961,false,,[2]
284,236517,false,,[2]
285,3208810,false,,[2]
286,3603958,false,,"[0,3,18,34]"
287,1000803,false,,"[0,3,18,34]"
288,2645431,false,,"[0,34]"
289,2865229,false,,[0]
290,2544327,false,,[0]
291,1830448,false,,[0]
292,2339609,false,,[0]
293,2044442,false,,[0]
294,1040519,false,,[0]
295,78216,false,,"[0,10]"
296,2258458,false,,"[0,4,3,5,10,33]"
297,7139122,false,,"[0,47,33]"
298,696141,false,,[0]
299,1263889,false,,"[0,47,38,33]"
300,6116186,false,,"[0,47,33,36]"
301,1850170,false,,"[0,18,47]"
302,4464231,false,,"[0,34,47]"
303,4938418,false,,[0]
304,3941138,false,,[0]
305,3222855,false,,[0]
306,796874,true,,"[0,7,12,8,11,13,19,47,35,44,43,52,59,55]"
307,3358048,true,,"[0,4,3,12,13,19,23,24,28,27,35,33,39,40,37,41,44,43,52,59,55,57,58,62,63,66,69,68,71,70,73]"
308,3480573,false,,"[0,3,28,27,66,69,68,71,70,73]"
309,853497,false,,[0]
310,1549353,false,,[0]
311,2803814,false,,[0]
312,647646,false,,[0]
313,2089933,false,,"[0,3,11]"
314,2028279,false,,"[0,3,9,11,18]"
315,5858551,false,,"[0,3,9]"
316,5727915,false,,[0]
317,4713882,false,,"[0,11]"
318,415924,false,,[0]
319,1304058,false,,[0]
320,6853152,false,,"[0,11]"
321,835791,false,,[0]
322,11604,false,,[0]
323,229604,false,,[0]
324,406881,false,,[0]
325,2103970,false,,[0]
326,3199176,false,,"[0,5,9,18]"
327,2370648,false,,"[0,5,9,18]"
328,713565,false,,"[0,3,5,9,18]"
329,5629624,false,,"[0,9]"
330,1757227,false,,"[0,12,9]"
331,8213765,false,,"[0,3,42]"
332,3022746,false,,"[0,3,42]"
333,3289617,false,,"[0,3,9,14]"
334,3992488,false,,"[4,3,5,33,42]"
335,4961656,false,,"[4,3,5,33,42]"
336,6431997,false,,"[4,3,5,33,42]"
337,8210634,false,,"[4,3,7,5,12,14,33]"
338,775657,false,,"[4,7,12,34,35]"
339,1797438,false,,"[4,7,12]"
340,3051120,false,,"[4,7,12,33,40,37,42]"
341,3295199,false,,"[4,7,12,42]"
342,1570925,false,,[4]
343,1617419,false,,[4]
344,1484476,false,,[4]
345,1953820,false,,[4]
346,2019048,false,,[4]
347,1650035,false,,"[4,33]"
348,324733,false,,[4]
349,3112389,false,,[4]
350,2010907,false,,[4]
351,10088348,false,,[4]
352,5907905,false,,[4]
353,3113888,false,,[4]
354,206649,false,,[4]
355,2546460,false,,[4]
356,9265720,false,,[4]
357,1406625,false,,[4]
358,4542314,false,,[4]
359,1303222,false,,[4]
360,1389344,false,,[4]
361,2813901,false,,"[4,41]"
362,116440,false,,"[4,7]"
363,2015062,false,,"[4,7,18,32]"
364,3586823,false,,[4]
365,5487187,false,,[4]
366,1796106,false,,[4]
367,2172591,false,,"[4,5,42]"
368,3701994,false,,"[4,42]"
369,564997,false,,"[4,7,5,12,8,11,47]"
370,4801857,false,,"[4,11]"
371,1143355,false,,[4]
372,2320595,true,,"[4,12,19,23,24,35,39,40,59,55,62,63]"
373,4783092,false,,[4]
374,4830210,false,,[4]
375,4862255,false,,"[4,33]"
376,2145667,false,,[4]
377,1324084,false,,[4]
378,3067951,false,,[4]
379,4443848,false,,[4]
380,2704434,false,,[4]
381,1573959,false,,"[4,59,55]"
382,704776,false,,[4]
383,1265069,false,,[4]
384,1283101,false,,[4]
385,5623384,false,,[4]
386,2280288,false,,"[4,5]"
387,4664269,false,,"[4,7,14,11,18]"
388,4331562,false,,"[4,7,14,11,18]"
389,2654770,false,,[4]
390,1034222,false,,[4]
391,6041715,false,,"[4,31]"
392,3683805,false,,"[4,5,16,38,51,53]"
393,393038,false,,"[4,5]"
394,1484037,false,,"[4,5]"
395,3697256,false,,[4]
396,1790835,false,,[4]
397,3397455,false,,[4]
398,4157482,false,,[4]
399,2545688,false,,"[4,12,29,35,33]"
400,1408546,false,,[4]
