submissionName1,submissionName2,averageSimilarity,maxSimilarity
CODE_IDENT_CS_004,CODE_IDENT_CS_004_COPY,1.0,1.0
CODE_ESTRU_CS_010,CODE_IDENT_CS_010,1.0,1.0
CODE_IDENT_CS_010,CODE_IDENT_CS_010_COPY,1.0,1.0
CODE_IDENT_CS_003,CODE_IDENT_CS_003_COPY,1.0,1.0
CODE_IDENT_CS_002,CODE_IDENT_CS_002_COPY,1.0,1.0
CODE_IDENT_CS_001,CODE_IDENT_CS_001_COPY,1.0,1.0
CODE_IDENT_CS_007,CODE_IDENT_CS_007_COPY,1.0,1.0
CODE_ESTRU_CS_007,CODE_IDENT_CS_007,1.0,1.0
CODE_IDENT_CS_006,CODE_IDENT_CS_006_COPY,1.0,1.0
CODE_IDENT_CS_005,CODE_IDENT_CS_005_COPY,1.0,1.0
CODE_IDENT_CS_009,CODE_IDENT_CS_009_COPY,1.0,1.0
CODE_ESTRU_CS_009,CODE_IDENT_CS_009,1.0,1.0
CODE_IDENT_CS_008,CODE_IDENT_CS_008_COPY,1.0,1.0
CODE_ESTRU_CS_008,CODE_IDENT_CS_008,1.0,1.0
CODE_IDENT_CS_012,CODE_IDENT_CS_012_COPY,1.0,1.0
CODE_ESTRU_CS_012,CODE_IDENT_CS_012_COPY,1.0,1.0
CODE_IDENT_CS_011,CODE_IDENT_CS_011_COPY,1.0,1.0
CODE_ESTRU_CS_011,CODE_IDENT_CS_011_COPY,1.0,1.0
CODE_IDENT_CS_014,CODE_IDENT_CS_014_COPY,1.0,1.0
CODE_ESTRU_CS_014,CODE_IDENT_CS_014_COPY,1.0,1.0
CODE_ESTRU_CS_009,CODE_IDENT_CS_009_COPY,1.0,1.0
CODE_ESTRU_CS_014,CODE_IDENT_CS_014,1.0,1.0
CODE_ESTRU_CS_013,CODE_IDENT_CS_013,1.0,1.0
CODE_IDENT_CS_013,CODE_IDENT_CS_013_COPY,1.0,1.0
CODE_ESTRU_CS_012,CODE_IDENT_CS_012,1.0,1.0
CODE_ESTRU_CS_011,CODE_IDENT_CS_011,1.0,1.0
CODE_ESTRU_CS_015,CODE_IDENT_CS_015,1.0,1.0
CODE_IDENT_CS_015,CODE_IDENT_CS_015_COPY,1.0,1.0
CODE_ESTRU_CS_007,CODE_IDENT_CS_007_COPY,1.0,1.0
CODE_ESTRU_CS_010,CODE_IDENT_CS_010_COPY,1.0,1.0
CODE_ESTRU_CS_015,CODE_IDENT_CS_015_COPY,1.0,1.0
CODE_ESTRU_CS_013,CODE_IDENT_CS_013_COPY,1.0,1.0
CODE_ESTRU_CS_008,CODE_IDENT_CS_008_COPY,1.0,1.0
CODE_IDENT_CS_006,CODE_ESTRU_CS_006,0.9743589743589743,1.0
CODE_IDENT_CS_006_COPY,CODE_ESTRU_CS_006,0.9743589743589743,1.0
CODE_ESTRU_CS_002,CODE_ESTRU_CS_003,0.9655172413793104,1.0
CODE_IDENT_CS_003,CODE_IDENT_CS_002,0.8823529411764706,0.9090909090909091
CODE_IDENT_CS_003,CODE_IDENT_CS_002_COPY,0.8823529411764706,0.9090909090909091
CODE_IDENT_CS_003_COPY,CODE_IDENT_CS_002,0.8823529411764706,0.9090909090909091
CODE_IDENT_CS_003_COPY,CODE_IDENT_CS_002_COPY,0.8823529411764706,0.9090909090909091
CODE_FUN_CS_003,CODE_FUN_CS_002,0.875,0.9032258064516129
CODE_IDENT_CS_005,CODE_IDENT_CS_007,0.84,0.9130434782608695
CODE_IDENT_CS_005_COPY,CODE_IDENT_CS_007,0.84,0.9130434782608695
CODE_IDENT_CS_005,CODE_IDENT_CS_007_COPY,0.84,0.9130434782608695
CODE_IDENT_CS_005,CODE_ESTRU_CS_007,0.84,0.9130434782608695
CODE_IDENT_CS_005_COPY,CODE_IDENT_CS_007_COPY,0.84,0.9130434782608695
CODE_IDENT_CS_005_COPY,CODE_ESTRU_CS_007,0.84,0.9130434782608695
CODE_FUN_CS_013,CODE_FUN_CS_011,0.8295454545454546,0.8690476190476191
CODE_IDENT_CS_013,CODE_IDENT_CS_011_COPY,0.828125,0.8833333333333333
CODE_ESTRU_CS_013,CODE_IDENT_CS_011_COPY,0.828125,0.8833333333333333
CODE_IDENT_CS_013_COPY,CODE_IDENT_CS_011_COPY,0.828125,0.8833333333333333
CODE_IDENT_CS_013,CODE_IDENT_CS_011,0.828125,0.8833333333333333
CODE_IDENT_CS_013,CODE_ESTRU_CS_011,0.828125,0.8833333333333333
CODE_ESTRU_CS_013,CODE_IDENT_CS_011,0.828125,0.8833333333333333
CODE_IDENT_CS_013_COPY,CODE_IDENT_CS_011,0.828125,0.8833333333333333
CODE_ESTRU_CS_013,CODE_ESTRU_CS_011,0.828125,0.8833333333333333
CODE_IDENT_CS_013_COPY,CODE_ESTRU_CS_011,0.828125,0.8833333333333333
CODE_IDENT_CS_001,CODE_ESTRU_CS_001,0.8248587570621468,0.9012345679012346
CODE_IDENT_CS_001_COPY,CODE_ESTRU_CS_001,0.8248587570621468,0.9012345679012346
CODE_FUN_CS_009,CODE_FUN_CS_012,0.8244274809160306,0.8709677419354839
CODE_IDENT_CS_005,CODE_ESTRU_CS_005,0.8125,0.8478260869565217
CODE_IDENT_CS_005_COPY,CODE_ESTRU_CS_005,0.8125,0.8478260869565217
CODE_IDENT_CS_015,CODE_IDENT_CS_010,0.773109243697479,0.8070175438596491
CODE_ESTRU_CS_015,CODE_IDENT_CS_010,0.773109243697479,0.8070175438596491
CODE_IDENT_CS_015_COPY,CODE_IDENT_CS_010,0.773109243697479,0.8070175438596491
CODE_IDENT_CS_015,CODE_ESTRU_CS_010,0.773109243697479,0.8070175438596491
CODE_IDENT_CS_015,CODE_IDENT_CS_010_COPY,0.773109243697479,0.8070175438596491
CODE_ESTRU_CS_015,CODE_ESTRU_CS_010,0.773109243697479,0.8070175438596491
CODE_IDENT_CS_015_COPY,CODE_ESTRU_CS_010,0.773109243697479,0.8070175438596491
CODE_ESTRU_CS_015,CODE_IDENT_CS_010_COPY,0.773109243697479,0.8070175438596491
CODE_IDENT_CS_015_COPY,CODE_IDENT_CS_010_COPY,0.773109243697479,0.8070175438596491
CODE_IDENT_CS_002,CODE_ESTRU_CS_002,0.7532467532467533,0.8285714285714286
CODE_IDENT_CS_002_COPY,CODE_ESTRU_CS_002,0.7532467532467533,0.8285714285714286
CODE_IDENT_CS_002,CODE_ESTRU_CS_003,0.75,0.8571428571428571
CODE_IDENT_CS_002_COPY,CODE_ESTRU_CS_003,0.75,0.8571428571428571
CODE_IDENT_CS_014_COPY,CODE_IDENT_CS_010,0.7256637168141593,0.803921568627451
CODE_IDENT_CS_014,CODE_IDENT_CS_010,0.7256637168141593,0.803921568627451
CODE_ESTRU_CS_014,CODE_IDENT_CS_010,0.7256637168141593,0.803921568627451
CODE_IDENT_CS_014_COPY,CODE_ESTRU_CS_010,0.7256637168141593,0.803921568627451
CODE_IDENT_CS_014_COPY,CODE_IDENT_CS_010_COPY,0.7256637168141593,0.803921568627451
CODE_IDENT_CS_014,CODE_ESTRU_CS_010,0.7256637168141593,0.803921568627451
CODE_IDENT_CS_014,CODE_IDENT_CS_010_COPY,0.7256637168141593,0.803921568627451
CODE_ESTRU_CS_014,CODE_ESTRU_CS_010,0.7256637168141593,0.803921568627451
CODE_ESTRU_CS_014,CODE_IDENT_CS_010_COPY,0.7256637168141593,0.803921568627451
CODE_IDENT_CS_009,CODE_IDENT_CS_012_COPY,0.7155963302752294,0.8297872340425532
CODE_IDENT_CS_009,CODE_IDENT_CS_012,0.7155963302752294,0.8297872340425532
CODE_IDENT_CS_009,CODE_ESTRU_CS_012,0.7155963302752294,0.8297872340425532
CODE_IDENT_CS_009_COPY,CODE_IDENT_CS_012_COPY,0.7155963302752294,0.8297872340425532
CODE_ESTRU_CS_009,CODE_IDENT_CS_012_COPY,0.7155963302752294,0.8297872340425532
CODE_IDENT_CS_009_COPY,CODE_IDENT_CS_012,0.7155963302752294,0.8297872340425532
CODE_IDENT_CS_009_COPY,CODE_ESTRU_CS_012,0.7155963302752294,0.8297872340425532
CODE_ESTRU_CS_009,CODE_IDENT_CS_012,0.7155963302752294,0.8297872340425532
CODE_ESTRU_CS_009,CODE_ESTRU_CS_012,0.7155963302752294,0.8297872340425532
CODE_FUN_CS_005,CODE_FUN_CS_007,0.6808510638297872,0.7111111111111111
CODE_ESTRU_CS_005,CODE_IDENT_CS_007,0.6730769230769231,0.7
CODE_ESTRU_CS_005,CODE_IDENT_CS_007_COPY,0.6730769230769231,0.7
CODE_ESTRU_CS_005,CODE_ESTRU_CS_007,0.6730769230769231,0.7
CODE_IDENT_CS_003,CODE_ESTRU_CS_002,0.6666666666666666,0.7575757575757576
CODE_IDENT_CS_003_COPY,CODE_ESTRU_CS_002,0.6666666666666666,0.7575757575757576
CODE_FUN_CS_007,CODE_FUN_CS_006,0.66,0.673469387755102
CODE_IDENT_CS_003,CODE_ESTRU_CS_003,0.6410256410256411,0.7575757575757576
CODE_IDENT_CS_003_COPY,CODE_ESTRU_CS_003,0.6410256410256411,0.7575757575757576
CODE_FUN_CS_004,CODE_IDENT_CS_004_COPY,0.6228373702422145,0.6293706293706294
CODE_FUN_CS_004,CODE_IDENT_CS_004,0.6228373702422145,0.6293706293706294
CODE_IDENT_CS_014_COPY,CODE_IDENT_CS_015,0.6111111111111112,0.6470588235294118
CODE_IDENT_CS_014_COPY,CODE_ESTRU_CS_015,0.6111111111111112,0.6470588235294118
CODE_IDENT_CS_014_COPY,CODE_IDENT_CS_015_COPY,0.6111111111111112,0.6470588235294118
CODE_IDENT_CS_014,CODE_IDENT_CS_015,0.6111111111111112,0.6470588235294118
CODE_IDENT_CS_014,CODE_ESTRU_CS_015,0.6111111111111112,0.6470588235294118
CODE_IDENT_CS_014,CODE_IDENT_CS_015_COPY,0.6111111111111112,0.6470588235294118
CODE_ESTRU_CS_014,CODE_IDENT_CS_015,0.6111111111111112,0.6470588235294118
CODE_ESTRU_CS_014,CODE_ESTRU_CS_015,0.6111111111111112,0.6470588235294118
CODE_ESTRU_CS_014,CODE_IDENT_CS_015_COPY,0.6111111111111112,0.6470588235294118
CODE_IDENT_CS_014_COPY,CODE_IDENT_CS_012_COPY,0.6017699115044248,0.6666666666666666
CODE_IDENT_CS_014,CODE_IDENT_CS_012_COPY,0.6017699115044248,0.6666666666666666
CODE_ESTRU_CS_014,CODE_IDENT_CS_012_COPY,0.6017699115044248,0.6666666666666666
CODE_IDENT_CS_014_COPY,CODE_IDENT_CS_012,0.6017699115044248,0.6666666666666666
CODE_IDENT_CS_014_COPY,CODE_ESTRU_CS_012,0.6017699115044248,0.6666666666666666
CODE_IDENT_CS_014,CODE_IDENT_CS_012,0.6017699115044248,0.6666666666666666
CODE_IDENT_CS_014,CODE_ESTRU_CS_012,0.6017699115044248,0.6666666666666666
CODE_ESTRU_CS_014,CODE_IDENT_CS_012,0.6017699115044248,0.6666666666666666
CODE_ESTRU_CS_014,CODE_ESTRU_CS_012,0.6017699115044248,0.6666666666666666
CODE_IDENT_CS_009,CODE_IDENT_CS_015,0.5961538461538461,0.6595744680851063
CODE_IDENT_CS_009,CODE_ESTRU_CS_015,0.5961538461538461,0.6595744680851063
