submissionName1,submissionName2,averageSimilarity,maxSimilarity
0,1,1.0,1.0
2,3,1.0,1.0
3,4,1.0,1.0
5,6,1.0,1.0
7,8,1.0,1.0
9,10,1.0,1.0
11,12,1.0,1.0
13,11,1.0,1.0
14,15,1.0,1.0
16,17,1.0,1.0
18,19,1.0,1.0
20,18,1.0,1.0
21,22,1.0,1.0
23,21,1.0,1.0
24,25,1.0,1.0
26,25,1.0,1.0
27,28,1.0,1.0
29,28,1.0,1.0
30,31,1.0,1.0
32,31,1.0,1.0
20,19,1.0,1.0
32,30,1.0,1.0
33,34,1.0,1.0
34,35,1.0,1.0
26,24,1.0,1.0
29,27,1.0,1.0
36,37,1.0,1.0
37,38,1.0,1.0
13,12,1.0,1.0
2,4,1.0,1.0
36,38,1.0,1.0
33,35,1.0,1.0
23,22,1.0,1.0
14,39,0.9743589743589743,1.0
15,39,0.9743589743589743,1.0
40,41,0.9655172413793104,1.0
5,7,0.8823529411764706,0.9090909090909091
5,8,0.8823529411764706,0.9090909090909091
6,7,0.8823529411764706,0.9090909090909091
6,8,0.8823529411764706,0.9090909090909091
42,43,0.875,0.9032258064516129
16,11,0.84,0.9130434782608695
17,11,0.84,0.9130434782608695
16,12,0.84,0.9130434782608695
16,13,0.84,0.9130434782608695
17,12,0.84,0.9130434782608695
17,13,0.84,0.9130434782608695
44,45,0.8295454545454546,0.8690476190476191
34,28,0.828125,0.8833333333333333
33,28,0.828125,0.8833333333333333
35,28,0.828125,0.8833333333333333
34,27,0.828125,0.8833333333333333
34,29,0.828125,0.8833333333333333
33,27,0.828125,0.8833333333333333
35,27,0.828125,0.8833333333333333
33,29,0.828125,0.8833333333333333
35,29,0.828125,0.8833333333333333
9,46,0.8248587570621468,0.9012345679012346
10,46,0.8248587570621468,0.9012345679012346
47,48,0.8244274809160306,0.8709677419354839
16,49,0.8125,0.8478260869565217
17,49,0.8125,0.8478260869565217
37,3,0.773109243697479,0.8070175438596491
36,3,0.773109243697479,0.8070175438596491
38,3,0.773109243697479,0.8070175438596491
37,2,0.773109243697479,0.8070175438596491
37,4,0.773109243697479,0.8070175438596491
36,2,0.773109243697479,0.8070175438596491
38,2,0.773109243697479,0.8070175438596491
36,4,0.773109243697479,0.8070175438596491
38,4,0.773109243697479,0.8070175438596491
7,40,0.7532467532467533,0.8285714285714286
8,40,0.7532467532467533,0.8285714285714286
7,41,0.75,0.8571428571428571
8,41,0.75,0.8571428571428571
31,3,0.7256637168141593,0.803921568627451
30,3,0.7256637168141593,0.803921568627451
32,3,0.7256637168141593,0.803921568627451
31,2,0.7256637168141593,0.803921568627451
31,4,0.7256637168141593,0.803921568627451
30,2,0.7256637168141593,0.803921568627451
30,4,0.7256637168141593,0.803921568627451
32,2,0.7256637168141593,0.803921568627451
32,4,0.7256637168141593,0.803921568627451
18,25,0.7155963302752294,0.8297872340425532
18,24,0.7155963302752294,0.8297872340425532
18,26,0.7155963302752294,0.8297872340425532
19,25,0.7155963302752294,0.8297872340425532
20,25,0.7155963302752294,0.8297872340425532
19,24,0.7155963302752294,0.8297872340425532
19,26,0.7155963302752294,0.8297872340425532
20,24,0.7155963302752294,0.8297872340425532
20,26,0.7155963302752294,0.8297872340425532
50,51,0.6808510638297872,0.7111111111111111
49,11,0.6730769230769231,0.7
49,12,0.6730769230769231,0.7
49,13,0.6730769230769231,0.7
5,40,0.6666666666666666,0.7575757575757576
6,40,0.6666666666666666,0.7575757575757576
51,52,0.66,0.673469387755102
5,41,0.6410256410256411,0.7575757575757576
6,41,0.6410256410256411,0.7575757575757576
53,1,0.6228373702422145,0.6293706293706294
53,0,0.6228373702422145,0.6293706293706294
31,37,0.6111111111111112,0.6470588235294118
31,36,0.6111111111111112,0.6470588235294118
31,38,0.6111111111111112,0.6470588235294118
30,37,0.6111111111111112,0.6470588235294118
30,36,0.6111111111111112,0.6470588235294118
30,38,0.6111111111111112,0.6470588235294118
32,37,0.6111111111111112,0.6470588235294118
32,36,0.6111111111111112,0.6470588235294118
32,38,0.6111111111111112,0.6470588235294118
31,25,0.6017699115044248,0.6666666666666666
30,25,0.6017699115044248,0.6666666666666666
32,25,0.6017699115044248,0.6666666666666666
31,24,0.6017699115044248,0.6666666666666666
31,26,0.6017699115044248,0.6666666666666666
30,24,0.6017699115044248,0.6666666666666666
30,26,0.6017699115044248,0.6666666666666666
32,24,0.6017699115044248,0.6666666666666666
32,26,0.6017699115044248,0.6666666666666666
18,37,0.5961538461538461,0.6595744680851063
18,36,0.5961538461538461,0.6595744680851063
18,38,0.5961538461538461,0.6595744680851063
19,37,0.5961538461538461,0.6595744680851063
19,36,0.5961538461538461,0.6595744680851063
19,38,0.5961538461538461,0.6595744680851063
20,37,0.5961538461538461,0.6595744680851063
20,36,0.5961538461538461,0.6595744680851063
20,38,0.5961538461538461,0.6595744680851063
54,55,0.5714285714285714,0.6027397260273972
40,14,0.5656565656565656,0.6666666666666666
40,15,0.5656565656565656,0.6666666666666666
3,25,0.5645161290322581,0.5645161290322581
3,24,0.5645161290322581,0.5645161290322581
26,3,0.5645161290322581,0.5645161290322581
2,25,0.5645161290322581,0.5645161290322581
4,25,0.5645161290322581,0.5645161290322581
2,24,0.5645161290322581,0.5645161290322581
4,24,0.5645161290322581,0.5645161290322581
2,26,0.5645161290322581,0.5645161290322581
26,4,0.5645161290322581,0.5645161290322581
50,52,0.5625,0.6
18,31,0.5510204081632653,0.574468085106383
18,30,0.5510204081632653,0.574468085106383
18,32,0.5510204081632653,0.574468085106383
19,31,0.5510204081632653,0.574468085106383
20,31,0.5510204081632653,0.574468085106383
19,30,0.5510204081632653,0.574468085106383
19,32,0.5510204081632653,0.574468085106383
20,30,0.5510204081632653,0.574468085106383
20,32,0.5510204081632653,0.574468085106383
41,14,0.5490196078431373,0.6222222222222222
41,15,0.5490196078431373,0.6222222222222222
40,39,0.5490196078431373,0.6666666666666666
41,39,0.5333333333333333,0.6222222222222222
14,21,0.5314685314685315,0.6666666666666666
