id,realName
11,CODE_ESTRU_JAVA_010
8,CODE_ESTRU_JAVA_011
45,CODE_ESTRU_JAVA_014
39,CODE_ESTRU_JAVA_015
55,CODE_ESTRU_JAVA_012
40,CODE_ESTRU_JAVA_013
1,CODE_IDENT_JAVA_009_COPY
15,CODE_IDENT_JAVA_008_COPY
18,CODE_IDENT_JAVA_002_COPY
41,CODE_ESTRU_JAVA_007
16,CODE_ESTRU_JAVA_008
56,CODE_ESTRU_JAVA_005
38,CODE_ESTRU_JAVA_006
2,CODE_ESTRU_JAVA_009
0,CODE_IDENT_JAVA_009
14,CODE_IDENT_JAVA_008
31,CODE_IDENT_JAVA_007
25,CODE_IDENT_JAVA_006
29,CODE_IDENT_JAVA_005
5,CODE_IDENT_JAVA_004
27,CODE_IDENT_JAVA_003
21,CODE_IDENT_JAVA_001_COPY
17,CODE_IDENT_JAVA_002
13,CODE_IDENT_JAVA_010_COPY
6,CODE_IDENT_JAVA_004_COPY
20,CODE_IDENT_JAVA_001
36,CODE_IDENT_JAVA_015_COPY
32,CODE_IDENT_JAVA_007_COPY
4,CODE_IDENT_JAVA_012_COPY
24,CODE_IDENT_JAVA_014_COPY
26,CODE_IDENT_JAVA_006_COPY
35,CODE_IDENT_JAVA_015
23,CODE_IDENT_JAVA_014
33,CODE_IDENT_JAVA_013
3,CODE_IDENT_JAVA_012
10,CODE_IDENT_JAVA_011
12,CODE_IDENT_JAVA_010
51,CODE_DIF_JAVA_002
50,CODE_DIF_JAVA_001
30,CODE_IDENT_JAVA_005_COPY
61,CODE_DIF_JAVA_004
69,CODE_DIF_JAVA_003
74,CODE_FUN_JAVA_014
48,CODE_FUN_JAVA_015
42,CODE_FUN_JAVA_010
73,CODE_DIF_JAVA_009
46,CODE_FUN_JAVA_011
34,CODE_IDENT_JAVA_013_COPY
44,CODE_FUN_JAVA_012
43,CODE_FUN_JAVA_013
67,CODE_DIF_JAVA_006
59,CODE_DIF_JAVA_005
70,CODE_DIF_JAVA_008
64,CODE_DIF_JAVA_007
37,CODE_ESTRU_JAVA_003
7,CODE_ESTRU_JAVA_004
22,CODE_ESTRU_JAVA_001
19,CODE_ESTRU_JAVA_002
71,CODE_DIF_JAVA_013
58,CODE_FUN_JAVA_007
62,CODE_DIF_JAVA_012
54,CODE_FUN_JAVA_008
66,CODE_DIF_JAVA_015
60,CODE_FUN_JAVA_009
68,CODE_DIF_JAVA_014
47,CODE_FUN_JAVA_003
65,CODE_FUN_JAVA_004
53,CODE_FUN_JAVA_005
49,CODE_DIF_JAVA_011
72,CODE_FUN_JAVA_006
63,CODE_DIF_JAVA_010
57,CODE_FUN_JAVA_001
52,CODE_FUN_JAVA_002
28,CODE_IDENT_JAVA_003_COPY
9,CODE_IDENT_JAVA_011_COPY
