submissionName1,submissionName2,averageSimilarity,maxSimilarity
CODE_IDENT_JAVA_009,CODE_IDENT_JAVA_009_COPY,1.0,1.0
CODE_ESTRU_JAVA_009,CODE_IDENT_JAVA_009_COPY,1.0,1.0
CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_012_COPY,1.0,1.0
CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004_COPY,1.0,1.0
CODE_ESTRU_JAVA_004,CODE_IDENT_JAVA_004_COPY,1.0,1.0
CODE_ESTRU_JAVA_011,CODE_IDENT_JAVA_011_COPY,1.0,1.0
CODE_ESTRU_JAVA_011,CODE_IDENT_JAVA_011,1.0,1.0
CODE_ESTRU_JAVA_010,CODE_IDENT_JAVA_010,1.0,1.0
CODE_ESTRU_JAVA_010,CODE_IDENT_JAVA_010_COPY,1.0,1.0
CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008_COPY,1.0,1.0
CODE_ESTRU_JAVA_008,CODE_IDENT_JAVA_008_COPY,1.0,1.0
CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002_COPY,1.0,1.0
CODE_ESTRU_JAVA_002,CODE_IDENT_JAVA_002,1.0,1.0
CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001_COPY,1.0,1.0
CODE_ESTRU_JAVA_001,CODE_IDENT_JAVA_001,1.0,1.0
CODE_IDENT_JAVA_014,CODE_IDENT_JAVA_014_COPY,1.0,1.0
CODE_ESTRU_JAVA_004,CODE_IDENT_JAVA_004,1.0,1.0
CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006_COPY,1.0,1.0
CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003_COPY,1.0,1.0
CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005_COPY,1.0,1.0
CODE_ESTRU_JAVA_008,CODE_IDENT_JAVA_008,1.0,1.0
CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_011_COPY,1.0,1.0
CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007_COPY,1.0,1.0
CODE_ESTRU_JAVA_009,CODE_IDENT_JAVA_009,1.0,1.0
CODE_IDENT_JAVA_010,CODE_IDENT_JAVA_010_COPY,1.0,1.0
CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_013_COPY,1.0,1.0
CODE_IDENT_JAVA_015,CODE_IDENT_JAVA_015_COPY,1.0,1.0
CODE_ESTRU_JAVA_001,CODE_IDENT_JAVA_001_COPY,1.0,1.0
CODE_ESTRU_JAVA_002,CODE_IDENT_JAVA_002_COPY,1.0,1.0
CODE_IDENT_JAVA_003,CODE_ESTRU_JAVA_003,0.9830508474576272,1.0
CODE_IDENT_JAVA_003_COPY,CODE_ESTRU_JAVA_003,0.9830508474576272,1.0
CODE_IDENT_JAVA_006_COPY,CODE_ESTRU_JAVA_006,0.9824561403508771,1.0
CODE_IDENT_JAVA_006,CODE_ESTRU_JAVA_006,0.9824561403508771,1.0
CODE_IDENT_JAVA_015_COPY,CODE_ESTRU_JAVA_015,0.8347826086956521,0.8727272727272727
CODE_IDENT_JAVA_015,CODE_ESTRU_JAVA_015,0.8347826086956521,0.8727272727272727
CODE_IDENT_JAVA_013,CODE_ESTRU_JAVA_013,0.7384615384615385,0.7741935483870968
CODE_IDENT_JAVA_013_COPY,CODE_ESTRU_JAVA_013,0.7384615384615385,0.7741935483870968
CODE_IDENT_JAVA_007,CODE_ESTRU_JAVA_007,0.6296296296296297,0.68
CODE_IDENT_JAVA_007_COPY,CODE_ESTRU_JAVA_007,0.6296296296296297,0.68
CODE_IDENT_JAVA_012_COPY,CODE_ESTRU_JAVA_011,0.6181818181818182,0.68
CODE_IDENT_JAVA_012_COPY,CODE_IDENT_JAVA_011_COPY,0.6181818181818182,0.68
CODE_IDENT_JAVA_012_COPY,CODE_IDENT_JAVA_011,0.6181818181818182,0.68
CODE_IDENT_JAVA_012,CODE_ESTRU_JAVA_011,0.6181818181818182,0.68
CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_011_COPY,0.6181818181818182,0.68
CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_011,0.6181818181818182,0.68
CODE_ESTRU_JAVA_010,CODE_FUN_JAVA_010,0.5806451612903226,0.6666666666666666
CODE_IDENT_JAVA_010,CODE_FUN_JAVA_010,0.5806451612903226,0.6666666666666666
CODE_IDENT_JAVA_010_COPY,CODE_FUN_JAVA_010,0.5806451612903226,0.6666666666666666
CODE_FUN_JAVA_013,CODE_FUN_JAVA_012,0.5544554455445545,0.5833333333333334
CODE_IDENT_JAVA_008_COPY,CODE_IDENT_JAVA_004_COPY,0.5538461538461539,0.5625
CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_004_COPY,0.5538461538461539,0.5625
CODE_ESTRU_JAVA_008,CODE_IDENT_JAVA_004_COPY,0.5538461538461539,0.5625
CODE_IDENT_JAVA_008_COPY,CODE_IDENT_JAVA_004,0.5538461538461539,0.5625
CODE_IDENT_JAVA_008_COPY,CODE_ESTRU_JAVA_004,0.5538461538461539,0.5625
CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_004,0.5538461538461539,0.5625
CODE_ESTRU_JAVA_008,CODE_IDENT_JAVA_004,0.5538461538461539,0.5625
CODE_IDENT_JAVA_008,CODE_ESTRU_JAVA_004,0.5538461538461539,0.5625
CODE_ESTRU_JAVA_008,CODE_ESTRU_JAVA_004,0.5538461538461539,0.5625
CODE_IDENT_JAVA_014_COPY,CODE_ESTRU_JAVA_014,0.5376344086021505,0.5681818181818182
CODE_IDENT_JAVA_014,CODE_ESTRU_JAVA_014,0.5376344086021505,0.5681818181818182
CODE_FUN_JAVA_011,CODE_FUN_JAVA_012,0.5283018867924528,0.5283018867924528
CODE_FUN_JAVA_003,CODE_FUN_JAVA_013,0.5,0.6785714285714286
CODE_FUN_JAVA_015,CODE_DIF_JAVA_011,0.484472049689441,0.5735294117647058
CODE_DIF_JAVA_001,CODE_FUN_JAVA_015,0.45112781954887216,0.46153846153846156
CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_003,0.43636363636363634,0.46153846153846156
CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_003_COPY,0.43636363636363634,0.46153846153846156
CODE_IDENT_JAVA_001_COPY,CODE_IDENT_JAVA_003,0.43636363636363634,0.46153846153846156
CODE_ESTRU_JAVA_001,CODE_IDENT_JAVA_003,0.43636363636363634,0.46153846153846156
CODE_IDENT_JAVA_001_COPY,CODE_IDENT_JAVA_003_COPY,0.43636363636363634,0.46153846153846156
CODE_ESTRU_JAVA_001,CODE_IDENT_JAVA_003_COPY,0.43636363636363634,0.46153846153846156
CODE_IDENT_JAVA_001,CODE_ESTRU_JAVA_003,0.42857142857142855,0.46153846153846156
CODE_IDENT_JAVA_001_COPY,CODE_ESTRU_JAVA_003,0.42857142857142855,0.46153846153846156
CODE_ESTRU_JAVA_001,CODE_ESTRU_JAVA_003,0.42857142857142855,0.46153846153846156
CODE_IDENT_JAVA_012_COPY,CODE_IDENT_JAVA_013,0.39285714285714285,0.44
CODE_IDENT_JAVA_012_COPY,CODE_IDENT_JAVA_013_COPY,0.39285714285714285,0.44
CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_013,0.39285714285714285,0.44
CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_013_COPY,0.39285714285714285,0.44
CODE_FUN_JAVA_013,CODE_DIF_JAVA_002,0.3917525773195876,0.3958333333333333
CODE_FUN_JAVA_002,CODE_FUN_JAVA_005,0.3877551020408163,0.41304347826086957
CODE_FUN_JAVA_008,CODE_FUN_JAVA_005,0.3829787234042553,0.42857142857142855
CODE_ESTRU_JAVA_012,CODE_ESTRU_JAVA_013,0.36923076923076925,0.3870967741935484
CODE_ESTRU_JAVA_011,CODE_IDENT_JAVA_013,0.36065573770491804,0.36666666666666664
CODE_ESTRU_JAVA_011,CODE_IDENT_JAVA_013_COPY,0.36065573770491804,0.36666666666666664
CODE_IDENT_JAVA_011_COPY,CODE_IDENT_JAVA_013,0.36065573770491804,0.36666666666666664
CODE_IDENT_JAVA_011_COPY,CODE_IDENT_JAVA_013_COPY,0.36065573770491804,0.36666666666666664
CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_013,0.36065573770491804,0.36666666666666664
CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_013_COPY,0.36065573770491804,0.36666666666666664
CODE_IDENT_JAVA_012_COPY,CODE_ESTRU_JAVA_012,0.35714285714285715,0.4
CODE_IDENT_JAVA_012,CODE_ESTRU_JAVA_012,0.35714285714285715,0.4
CODE_IDENT_JAVA_012_COPY,CODE_ESTRU_JAVA_013,0.3389830508474576,0.4
CODE_IDENT_JAVA_012,CODE_ESTRU_JAVA_013,0.3389830508474576,0.4
CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_006_COPY,0.3333333333333333,0.34615384615384615
CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_006,0.3333333333333333,0.34615384615384615
CODE_IDENT_JAVA_001_COPY,CODE_IDENT_JAVA_006_COPY,0.3333333333333333,0.34615384615384615
CODE_ESTRU_JAVA_001,CODE_IDENT_JAVA_006_COPY,0.3333333333333333,0.34615384615384615
CODE_IDENT_JAVA_001_COPY,CODE_IDENT_JAVA_006,0.3333333333333333,0.34615384615384615
CODE_ESTRU_JAVA_001,CODE_IDENT_JAVA_006,0.3333333333333333,0.34615384615384615
CODE_IDENT_JAVA_005,CODE_ESTRU_JAVA_005,0.3333333333333333,0.34615384615384615
CODE_IDENT_JAVA_005_COPY,CODE_ESTRU_JAVA_005,0.3333333333333333,0.34615384615384615
CODE_ESTRU_JAVA_011,CODE_ESTRU_JAVA_012,0.32786885245901637,0.3333333333333333
CODE_IDENT_JAVA_011_COPY,CODE_ESTRU_JAVA_012,0.32786885245901637,0.3333333333333333
CODE_IDENT_JAVA_011,CODE_ESTRU_JAVA_012,0.32786885245901637,0.3333333333333333
CODE_FUN_JAVA_003,CODE_FUN_JAVA_001,0.32786885245901637,0.35714285714285715
CODE_IDENT_JAVA_001,CODE_ESTRU_JAVA_006,0.32727272727272727,0.34615384615384615
CODE_IDENT_JAVA_001_COPY,CODE_ESTRU_JAVA_006,0.32727272727272727,0.34615384615384615
CODE_ESTRU_JAVA_001,CODE_ESTRU_JAVA_006,0.32727272727272727,0.34615384615384615
CODE_ESTRU_JAVA_012,CODE_IDENT_JAVA_013,0.3225806451612903,0.3225806451612903
CODE_ESTRU_JAVA_012,CODE_IDENT_JAVA_013_COPY,0.3225806451612903,0.3225806451612903
CODE_ESTRU_JAVA_012,CODE_IDENT_JAVA_014_COPY,0.32,0.3870967741935484
CODE_ESTRU_JAVA_012,CODE_IDENT_JAVA_014,0.32,0.3870967741935484
CODE_FUN_JAVA_013,CODE_FUN_JAVA_011,0.31683168316831684,0.3333333333333333
CODE_IDENT_JAVA_006_COPY,CODE_IDENT_JAVA_003,0.3157894736842105,0.32142857142857145
CODE_IDENT_JAVA_006_COPY,CODE_IDENT_JAVA_003_COPY,0.3157894736842105,0.32142857142857145
CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_003,0.3157894736842105,0.32142857142857145
CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_003_COPY,0.3157894736842105,0.32142857142857145
CODE_FUN_JAVA_007,CODE_DIF_JAVA_005,0.3150684931506849,0.41818181818181815
CODE_ESTRU_JAVA_011,CODE_ESTRU_JAVA_013,0.3125,0.3333333333333333
CODE_IDENT_JAVA_011_COPY,CODE_ESTRU_JAVA_013,0.3125,0.3333333333333333
CODE_IDENT_JAVA_011,CODE_ESTRU_JAVA_013,0.3125,0.3333333333333333
CODE_IDENT_JAVA_006_COPY,CODE_ESTRU_JAVA_003,0.3103448275862069,0.32142857142857145
CODE_ESTRU_JAVA_006,CODE_IDENT_JAVA_003,0.3103448275862069,0.3103448275862069
CODE_IDENT_JAVA_006,CODE_ESTRU_JAVA_003,0.3103448275862069,0.32142857142857145
CODE_ESTRU_JAVA_006,CODE_IDENT_JAVA_003_COPY,0.3103448275862069,0.3103448275862069
CODE_ESTRU_JAVA_013,CODE_IDENT_JAVA_014_COPY,0.3076923076923077,0.35294117647058826
CODE_ESTRU_JAVA_013,CODE_IDENT_JAVA_014,0.3076923076923077,0.35294117647058826
CODE_ESTRU_JAVA_006,CODE_ESTRU_JAVA_003,0.3050847457627119,0.3103448275862069
CODE_ESTRU_JAVA_012,CODE_ESTRU_JAVA_014,0.3,0.3870967741935484
CODE_IDENT_JAVA_012_COPY,CODE_IDENT_JAVA_014_COPY,0.2898550724637681,0.4
CODE_IDENT_JAVA_012_COPY,CODE_IDENT_JAVA_014,0.2898550724637681,0.4
CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_014_COPY,0.2898550724637681,0.4
CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_014,0.2898550724637681,0.4
CODE_ESTRU_JAVA_013,CODE_ESTRU_JAVA_014,0.2891566265060241,0.35294117647058826
CODE_FUN_JAVA_001,CODE_FUN_JAVA_002,0.27848101265822783,0.3333333333333333
CODE_IDENT_JAVA_012_COPY,CODE_ESTRU_JAVA_014,0.2702702702702703,0.4
CODE_IDENT_JAVA_012,CODE_ESTRU_JAVA_014,0.2702702702702703,0.4
CODE_ESTRU_JAVA_011,CODE_IDENT_JAVA_014_COPY,0.2702702702702703,0.3333333333333333
CODE_ESTRU_JAVA_011,CODE_IDENT_JAVA_014,0.2702702702702703,0.3333333333333333
CODE_IDENT_JAVA_011_COPY,CODE_IDENT_JAVA_014_COPY,0.2702702702702703,0.3333333333333333
CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_014_COPY,0.2702702702702703,0.3333333333333333
CODE_IDENT_JAVA_011_COPY,CODE_IDENT_JAVA_014,0.2702702702702703,0.3333333333333333
CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_014,0.2702702702702703,0.3333333333333333
CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_014_COPY,0.26666666666666666,0.3225806451612903
CODE_IDENT_JAVA_013_COPY,CODE_IDENT_JAVA_014_COPY,0.26666666666666666,0.3225806451612903
CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_014,0.26666666666666666,0.3225806451612903
CODE_IDENT_JAVA_013_COPY,CODE_IDENT_JAVA_014,0.26666666666666666,0.3225806451612903
CODE_IDENT_JAVA_008_COPY,CODE_IDENT_JAVA_009_COPY,0.2608695652173913,0.28125
CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_009_COPY,0.2608695652173913,0.28125
CODE_ESTRU_JAVA_008,CODE_IDENT_JAVA_009_COPY,0.2608695652173913,0.28125
