case_id,language,similarity_category,expected_similarity_min,expected_similarity_max,llm_model,llm_provider,response_time_seconds,classified_similarity_percent,expected_similarity_percent,coincidence,true_positive,true_negative,false_positive,false_negative,accuracy_percent,sensitivity_percent,specificity_percent,justif_clarity_1to5,justif_technical_terminology_1to5,justif_logical_structure_1to5,coverage_lexical_0or1,coverage_structural_0or1,coverage_functional_0or1,coverage_style_0or1,consistency_score_justif_1to5,consistency_internal_logic_1to5,qualitative_observations,evaluation_date,evaluator,env_internet,env_cpu,env_ram,env_os
CASE_CODE_CS_001,C#,identical,100,100,Claude Opus 4.1,Anthropic,22.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-29,Rafael Navas,94.82 Mbps,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_001,C#,identical,100,100,GPT-5,OpenAI,18.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-29,Rafael Navas,94.82 Mbps,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_001,C#,identical,100,100,Gemini 2.5 Pro,Google,24.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-29,Rafael Navas,94.82 Mbps,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_001,C#,identical,100,100,DeepSeek-V3,DeepSeek,21.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-29,Rafael Navas,94.82 Mbps,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_002,C#,functional,70,90,Claude Opus 4.1,Anthropic,20.0,82,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_002,C#,functional,70,90,GPT-5,OpenAI,76.0,89,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,4,El porcentaje de respuesta estuvo por encima del esperado,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_002,C#,functional,70,90,Gemini 2.5 Pro,Google,24.0,92,90-70,0,1,0,0,0,100.0,100.0,,4,5,4,1,1,1,1,5,5,,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_002,C#,functional,70,90,DeepSeek-V3,DeepSeek,26.0,88,90-70,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_003,C#,structural,40,60,Claude Opus 4.1,Anthropic,20.0,78,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,El porcentaje de respuesta estuvo por encima del esperado,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_003,C#,structural,40,60,GPT-5,OpenAI,22.0,82,60-40,0,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,4,5,El porcentaje de respuesta estuvo por encima del esperado,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_003,C#,structural,40,60,Gemini 2.5 Pro,Google,26.0,62,60-40,0,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,El porcentaje de respuesta estuvo por encima del esperado,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_003,C#,structural,40,60,DeepSeek-V3,DeepSeek,30.0,60,60-40,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_004,C#,different,0,20,Claude Opus 4.1,Anthropic,26.0,15,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_004,C#,different,0,20,GPT-5,OpenAI,22.0,33,30-0,0,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,4,5,El porcentaje de respuesta estuvo por encima del esperado,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_004,C#,different,0,20,Gemini 2.5 Pro,Google,19.0,33,30-0,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,El porcentaje de respuesta estuvo por encima del esperado,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_004,C#,different,0,20,DeepSeek-V3,DeepSeek,25.0,28,30-0,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,93.49,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_005,C#,identical,100,100,Claude Opus 4.1,Anthropic,19.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_005,C#,identical,100,100,GPT-5,OpenAI,15.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_005,C#,identical,100,100,Gemini 2.5 Pro,Google,18.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_005,C#,identical,100,100,DeepSeek-V3,DeepSeek,19.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_006,C#,functional,70,90,Claude Opus 4.1,Anthropic,24.0,82,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
